Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.000790,1.003959,0.003101,0.000758
1.001865,1.006874,0.000637,-0.000871
1.004402,1.011631,0.000027,-0.002516
1.006342,1.013644,-0.001206,-0.000797
1.006939,1.017576,0.000041,-0.001725
1.008376,1.020334,0.000053,-0.000723
1.009298,1.023572,0.000060,0.000285
1.011739,1.026113,0.000698,0.000320
1.015340,1.030040,-0.000548,-0.000615
1.016650,1.034048,0.000092,0.001138
1.018554,1.037045,0.000102,0.001182
1.022207,1.040917,0.000746,0.000486
1.023873,1.045369,0.000124,0.002999
1.025502,1.048931,0.000135,0.003042
1.026032,1.052113,0.000785,0.000609
1.027802,1.054972,0.000798,0.003143
1.031306,1.059850,-0.000471,0.004188
1.032600,1.063662,0.002108,0.004993
1.036874,1.069065,0.000195,0.003292
1.039534,1.072515,0.000209,0.004346
1.042088,1.075928,0.002163,0.005160
1.044593,1.079865,0.001532,0.004456
1.046100,1.082797,0.000900,0.007054
1.048031,1.086977,0.002873,0.004566
1.050711,1.090982,0.005075,0.008200
1.052467,1.094564,0.002260,0.007239
1.054307,1.097459,0.002280,0.008331
1.056568,1.101722,0.002960,0.006592
1.058572,1.104614,0.004307,0.008461
1.061869,1.108925,0.005883,0.008532
1.063474,1.111088,0.003694,0.009384
1.065897,1.114364,0.005949,0.007632
1.067424,1.116613,0.005983,0.010583
1.068920,1.119218,0.006691,0.011442
1.071236,1.122014,0.004479,0.012571
1.072429,1.123971,0.005410,0.012651
1.073547,1.126010,0.008162,0.015647
1.076817,1.129618,0.009566,0.019469
1.079545,1.132040,0.010984,0.020378
1.079951,1.134753,0.014016,0.023427
1.084209,1.138001,0.017533,0.026235
1.088192,1.140898,0.021303,0.031230
1.092621,1.143578,0.027888,0.038955
1.097952,1.146682,0.035919,0.048898
1.102344,1.148697,0.048461,0.059727
1.107046,1.153051,0.063913,0.078298
1.112351,1.156247,0.089846,0.107711
1.117434,1.158955,0.123347,0.146114
1.121188,1.161284,0.174957,0.200295
1.125112,1.164245,0.237227,0.260932
