x1 y1 x2 y2 x3 y3
1.169870451909403641e+00 9.959906490076497754e-01 1.754805677864105178e+02 6.639937660051021054e-03 1.169870451909403641e+01 9.959906490076497754e-02
1.182685355943437600e+00 8.254929216187680829e-01 1.774028033915156186e+02 5.503286144125139369e-03 1.182685355943437600e+01 8.254929216187681384e-02
1.195500259977471336e+00 6.776080719983844647e-01 1.793250389966207194e+02 4.517387146655880460e-03 1.195500259977471558e+01 6.776080719983820777e-02
1.208315164011505294e+00 5.510539418979122361e-01 1.812472746017257919e+02 3.673692945986081673e-03 1.208315164011505516e+01 5.510539418979102516e-02
1.221130068045539252e+00 4.441171259636145230e-01 1.831695102068308927e+02 2.960780839757430356e-03 1.221130068045539296e+01 4.441171259636145230e-02
1.233944972079573210e+00 3.548304993660517659e-01 1.850917458119359935e+02 2.365536662440345314e-03 1.233944972079573255e+01 3.548304993660517798e-02
1.246759876113607168e+00 2.811197738903309928e-01 1.870139814170410659e+02 1.874131825935540030e-03 1.246759876113607213e+01 2.811197738903310067e-02
1.259574780147641127e+00 2.209179487711892265e-01 1.889362170221461668e+02 1.472786325141261588e-03 1.259574780147641171e+01 2.209179487711892403e-02
1.272389684181674863e+00 1.722492044665872857e-01 1.908584526272512676e+02 1.148328029777243280e-03 1.272389684181675129e+01 1.722492044665864877e-02
1.285204588215708821e+00 1.332855520305401276e-01 1.927806882323563400e+02 8.885703468702636169e-04 1.285204588215708910e+01 1.332855520305401345e-02
1.298019492249742779e+00 1.023805175302025666e-01 1.947029238374614408e+02 6.825367835346807938e-04 1.298019492249742868e+01 1.023805175302025701e-02
1.310834396283776737e+00 7.808447184420763687e-02 1.966251594425665417e+02 5.205631456280482858e-04 1.310834396283776826e+01 7.808447184420763861e-03
1.323649300317810695e+00 5.914608333000581641e-02 1.985473950476716141e+02 3.943072222000387956e-04 1.323649300317810784e+01 5.914608333000581988e-03
1.336464204351844653e+00 4.450393479727336732e-02 2.004696306527766865e+02 2.966928986484891032e-04 1.336464204351844742e+01 4.450393479727336385e-03
1.349279108385878612e+00 3.327174293467417832e-02 2.023918662578818157e+02 2.218116195644935485e-04 1.349279108385878700e+01 3.327174293467417918e-03
1.362094012419912570e+00 2.471995358882743063e-02 2.043141018629868881e+02 1.647996905921828644e-04 1.362094012419912659e+01 2.471995358882743236e-03
