x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30
2.040816326530612013e-01 3.139552234185109536e-01 -2.070076678284631655e-01 -1.327062491616824158e-01 -3.583435899990395912e-01 -6.692258377373896394e-01 2.099573234327688775e-01 1.194283774084093086e-01 -4.091202309358640821e-02 2.156798805561927976e-02 1.177588581233368903e-01 5.475713696374555628e-01 2.198910305682359179e-01 9.941620489148843554e-01 -2.704275101137916179e-02 1.002319805093203758e-01 5.396495627941134687e-01 5.123334421794065729e-01 7.121212813514418150e-01 3.978664055110277542e-01 -5.332048048774080673e-01 1.050154001308866714e-01 -7.880245559579960313e-01 -6.449007021295688480e-01 -2.570786206147280817e-01 1.233708540649201685e-01 -1.123281317312798677e-01 -1.793217492786596812e-01 -1.547014807847098827e-01 -5.358371146890998915e-01 1.840436061074605667e-01 4.947042717118097510e-01
2.244897959183673186e-01 3.136325195554216516e-01 -2.066296639253281386e-01 -1.327053409427400299e-01 -3.581712441314748308e-01 -6.689231878794933417e-01 2.105955396256276591e-01 1.196287036223589034e-01 -4.022720102479411530e-02 2.228248184591119507e-02 1.169612705816313464e-01 5.474746131034575747e-01 2.194734989834293548e-01 9.936416157791982950e-01 -2.787584986878516649e-02 9.828773748399027843e-02 5.385138216913144538e-01 5.107775979415284384e-01 7.114174120429539450e-01 3.994844011255005989e-01 -5.324347168385354934e-01 1.058333969653647288e-01 -7.893917641846562860e-01 -6.447873517993344405e-01 -2.580626731535128893e-01 1.241886052195916995e-01 -1.114307957354030015e-01 -1.788638014921326014e-01 -1.543384414345151390e-01 -5.363603414629358745e-01 1.841955186177008097e-01 4.953083546105019885e-01
2.448979591836734637e-01 3.133025464469327281e-01 -2.062159862953551470e-01 -1.327269579825332280e-01 -3.580027763094876803e-01 -6.685741819796952035e-01 2.112855605647169233e-01 1.197864127285996755e-01 -3.947887076512749532e-02 2.306627362740969883e-02 1.160710169540778436e-01 5.476036700309160343e-01 2.190682782652120519e-01 9.932634093001136977e-01 -2.893892432090136579e-02 9.589040515081428961e-02 5.370869127178481417e-01 5.087769517153617471e-01 7.105907661789615526e-01 4.017352465547107121e-01 -5.314549737349032466e-01 1.069064685281044397e-01 -7.913686221160747269e-01 -6.447196314878720358e-01 -2.595511724204645487e-01 1.252705299777896464e-01 -1.103394098816875557e-01 -1.782070379413837335e-01 -1.538355710236329055e-01 -5.372932668807021139e-01 1.843643875679257804e-01 4.961510676305578849e-01
2.653061224489795533e-01 3.129592741494986452e-01 -2.057851905654928815e-01 -1.327682396825616562e-01 -3.578347303328223150e-01 -6.681804436200953212e-01 2.119245772585534870e-01 1.198260066682921565e-01 -3.877801785633064324e-02 2.381129094546957300e-02 1.152059127774748004e-01 5.479082131512417186e-01 2.186861891945804937e-01 9.929972715595963839e-01 -3.017753329727486736e-02 9.311437042013590015e-02 5.354101735775712578e-01 5.064092230141206130e-01 7.096411142234847480e-01 4.044522713805753233e-01 -5.302895984368700688e-01 1.081581283382020559e-01 -7.937965813815069938e-01 -6.446839615631864140e-01 -2.614146598737850380e-01 1.265262968584820458e-01 -1.090824630178803961e-01 -1.773895812361457047e-01 -1.532140656542821944e-01 -5.385649296018455434e-01 1.845307720860487055e-01 4.971782572182706916e-01
2.857142857142856984e-01 3.126181501357207515e-01 -2.053285009027331631e-01 -1.328394993592000584e-01 -3.576871528770489417e-01 -6.677495911868384093e-01 2.126014773887180687e-01 1.198149901749100826e-01 -3.802570667144353905e-02 2.461626307678384598e-02 1.142628044907376406e-01 5.485001266186878555e-01 2.183348354361684951e-01 9.929270418475595328e-01 -3.164167836797898009e-02 8.990344849317649656e-02 5.334376162200409333e-01 5.035943278043852889e-01 7.085748528621651499e-01 4.078178147461252179e-01 -5.289152822088701855e-01 1.096931234063038690e-01 -7.969147504034248541e-01 -6.447140994357347665e-01 -2.638555327963282848e-01 1.280811922120949353e-01 -1.076232796642673933e-01 -1.763688531971477069e-01 -1.524595091992725915e-01 -5.402915017526875863e-01 1.847041117803484567e-01 4.984787987337949700e-01
3.061224489795917880e-01 3.122881505957542658e-01 -2.048470411727218998e-01 -1.329428766490481639e-01 -3.575698981315635905e-01 -6.672892896090544257e-01 2.133401870189960137e-01 1.197809874005139330e-01 -3.719456991384800792e-02 2.550773038995891862e-02 1.132178478262821919e-01 5.494086305943260973e-01 2.180263858135309818e-01 9.930807595517929798e-01 -3.332423534097383316e-02 8.628644533500982872e-02 5.311670824135897861e-01 5.003361841885556327e-01 7.073930540685290369e-01 4.118303313330081150e-01 -5.273311972393406322e-01 1.115217964156493685e-01 -8.007649121998963171e-01 -6.448240796386109919e-01 -2.669099662887729485e-01 1.299512069885786214e-01 -1.059788655741003421e-01 -1.751336830965559699e-01 -1.515790649952669655e-01 -5.424710005383052147e-01 1.848755344924341570e-01 5.000592148755256261e-01
3.265306122448979331e-01 3.119863046621825786e-01 -2.043390875621480807e-01 -1.330795569062383499e-01 -3.575009153408684193e-01 -6.668106552471392279e-01 2.141947646618409806e-01 1.197778643071477911e-01 -3.622720162901978819e-02 2.654224173448384988e-02 1.120127742062500542e-01 5.506570597056914540e-01 2.177701955662773026e-01 9.934971279322966087e-01 -3.522248276753245366e-02 8.231751676827421538e-02 5.286304038021322205e-01 4.966711706773713764e-01 7.061228849414312725e-01 4.164942862651700994e-01 -5.255660292306130188e-01 1.136423096465341703e-01 -8.053465571345412854e-01 -6.450284772367331776e-01 -2.705858096099954535e-01 1.321492667616418482e-01 -1.042037200912211276e-01 -1.736782295472292514e-01 -1.505806649094813821e-01 -5.450897359549390364e-01 1.850397032996066449e-01 5.019081093472742561e-01
3.469387755102040782e-01 3.117153146635895933e-01 -2.037852878760670339e-01 -1.332454903264557455e-01 -3.574892552011514901e-01 -6.663053533813764195e-01 2.152554033759189467e-01 1.198685684839152499e-01 -3.503395815231399868e-02 2.781421146400944039e-02 1.105549663417723649e-01 5.522784707627879097e-01 2.175619269530713329e-01 9.941921483642605084e-01 -3.736277600837808327e-02 7.797246430706369913e-02 5.257996541136388258e-01 4.925623290537405885e-01 7.047526884393944258e-01 4.218809976298089626e-01 -5.236015686195496510e-01 1.161031736951313592e-01 -8.107626865875944278e-01 -6.453427085879325231e-01 -2.749658398527683456e-01 1.347444698861396672e-01 -1.022906493417703871e-01 -1.719748979422953683e-01 -1.494626712677063485e-01 -5.481663855888193604e-01 1.851963541039720884e-01 5.040587313823383653e-01
3.673469387755101678e-01 3.114745495718077573e-01 -2.031833402615234319e-01 -1.334501393935458025e-01 -3.575146802622727882e-01 -6.657757029965677420e-01 2.164654026562043976e-01 1.200470272716970127e-01 -3.367508398757326077e-02 2.927103084560137708e-02 1.089085154006678435e-01 5.541878930243445689e-01 2.173926917682000304e-01 9.950795706578678956e-01 -3.970883147757597181e-02 7.328887974364005353e-02 5.227339201880872865e-01 4.881109063987451591e-01 7.033126203445101421e-01 4.278444620740621818e-01 -5.214702350459140545e-01 1.188241051949942284e-01 -8.168224551332582406e-01 -6.457420823325211723e-01 -2.798764915086656702e-01 1.376457454214520537e-01 -1.002550531810517259e-01 -1.700815618074889013e-01 -1.482424922259453215e-01 -5.516070290489930583e-01 1.853352659304272898e-01 5.064386012951278548e-01
3.877551020408163129e-01 3.112355984832041456e-01 -2.025513011425618126e-01 -1.336743968417138106e-01 -3.575426717159388978e-01 -6.652068272656813663e-01 2.176481675377859581e-01 1.201713904689793305e-01 -3.233732793070791256e-02 3.072291165138615193e-02 1.072730796849338253e-01 5.562261079531930497e-01 2.172548454741430601e-01 9.960448994212692808e-01 -4.217554426219428942e-02 6.837145254260497407e-02 5.194884849846238550e-01 4.834300629103407410e-01 7.017838174688401098e-01 4.340787516318104222e-01 -5.192068627067968345e-01 1.216394880107446175e-01 -8.231604842922466414e-01 -6.461823629375665901e-01 -2.850150201022945140e-01 1.406646179711077416e-01 -9.815904955469741122e-02 -1.680545753086202243e-01 -1.469302715959141803e-01 -5.552376314396794132e-01 1.854295093232849467e-01 5.089134140573310372e-01
