x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33 y34 y35 y36 y37 y38 y39 y40 y41 y42 y43 y44 y45 y46 y47 y48 y49
1.000000000000000000e+01 4.156291189259553875e-01 4.149378903579746258e-01 4.135281228689319799e-01 4.114948134048874162e-01 4.088604768878913998e-01 4.057430615404160612e-01 4.026733757946241443e-01 3.999551882524410851e-01 3.977282810666965540e-01 3.959449020259517282e-01 3.945130122902255065e-01 3.934724875062883820e-01 3.927840376021098368e-01 3.923314130858507331e-01 3.920820986360690208e-01 3.917828306842144892e-01 3.916686198736155089e-01 3.917422821496784335e-01 3.920847260910671483e-01 3.930188975528228212e-01 3.947906839650400790e-01 3.975264028719552312e-01 4.011417988098868181e-01 4.054001189222692370e-01 4.101688364541891119e-01 4.152373274911444478e-01 4.204120789696016991e-01 4.255885924189710123e-01 4.306304338260112941e-01 4.347862934661830270e-01 4.375605749676342304e-01 4.388861955204106935e-01 4.389582402026474539e-01 4.378555701376863896e-01 4.353915785776714675e-01 4.313123677850211890e-01 4.259378615888162467e-01 4.204947831303552097e-01 4.157930399581262759e-01 4.118292256432641851e-01 4.091027892708244407e-01 4.078136792736571925e-01 4.084469811303219067e-01 4.113571728876691536e-01 4.164881799194371514e-01 4.232225666889407045e-01 4.312114405702429654e-01 4.399139539185221714e-01 4.489400085323537182e-01 4.575947793486264681e-01
1.100000000000000000e+01 1.988110569461874200e-01 1.989558188422218266e-01 1.990427745456145592e-01 1.988972360829381336e-01 1.984633185686482393e-01 1.978129261302016828e-01 1.970910268315444747e-01 1.963842481798396822e-01 1.957866195143520838e-01 1.953368078055764401e-01 1.950448571534827424e-01 1.949035180365067677e-01 1.948969533857774772e-01 1.949632146684786294e-01 1.950938689607721044e-01 1.952104609422778969e-01 1.953669428539472064e-01 1.955169682183196256e-01 1.956353644354607846e-01 1.957670898368047974e-01 1.958839083087081656e-01 1.959621210555615445e-01 1.959280353066575886e-01 1.956736561375676808e-01 1.951655859123903602e-01 1.943059656512455546e-01 1.929908943784379161e-01 1.912202424701362202e-01 1.890681220789766914e-01 1.864586282992111155e-01 1.832224085866693275e-01 1.793167098751098365e-01 1.747439400941865895e-01 1.695474442164305040e-01 1.632365373452242807e-01 1.553646438831542964e-01 1.461709966313647358e-01 1.368683983899439127e-01 1.284220608641600259e-01 1.209228117856145507e-01 1.152297338430522122e-01 1.116923368318496201e-01 1.109722086799282692e-01 1.134668285855623959e-01 1.189885302280716262e-01 1.266748961436819920e-01 1.359625979691199693e-01 1.460223555158767506e-01 1.561982621453003872e-01 1.657558590374892393e-01
1.200000000000000000e+01 8.850934568752978349e-01 8.848643266519429229e-01 8.841335802783542031e-01 8.827781950518692744e-01 8.808155030481922276e-01 8.783806026773580689e-01 8.759264999680114183e-01 8.737878301520416446e-01 8.721315994377635272e-01 8.709307642413153250e-01 8.701475016653996697e-01 8.698245951537827425e-01 8.698963194911318864e-01 8.702473545127211718e-01 8.708199741967643792e-01 8.713688751790569231e-01 8.720660805924667081e-01 8.728181673601764778e-01 8.735940559242295622e-01 8.746037392653266407e-01 8.759828550783522738e-01 8.777650628043149883e-01 8.798250734167788467e-01 8.819313830211378269e-01 8.840083580443233169e-01 8.858814744704602839e-01 8.873439064353674244e-01 8.883624582821191273e-01 8.890387295337012219e-01 8.890833268982953896e-01 8.881660961128252652e-01 8.860734798500190523e-01 8.829296731819642474e-01 8.787684537688034148e-01 8.731811249818157705e-01 8.657957421570483536e-01 8.569550868260605858e-01 8.481077756983250726e-01 8.402134015333211359e-01 8.333451498030192139e-01 8.283517917265748043e-01 8.255517451727532041e-01 8.255891265211356966e-01 8.289477625431074248e-01 8.355014948539435382e-01 8.444126816556543069e-01 8.551631261694718766e-01 8.668607636940044436e-01 8.789154981714500936e-01 8.904998411787531376e-01
1.300000000000000000e+01 -2.788817763042161432e-02 -2.632864060195548930e-02 -2.495265625597423501e-02 -2.384347831580357208e-02 -2.312454384916252936e-02 -2.263069750810633995e-02 -2.238830650122532878e-02 -2.247725543540637222e-02 -2.275542644235821824e-02 -2.300973898887137548e-02 -2.320351054657467105e-02 -2.340923052444413704e-02 -2.360407570138507369e-02 -2.384564316629405462e-02 -2.408979275124478389e-02 -2.428856734359479894e-02 -2.450239339878158493e-02 -2.471725552000541767e-02 -2.497254293720892193e-02 -2.529614482349802629e-02 -2.583206895983540183e-02 -2.660924014741476371e-02 -2.764869399518292761e-02 -2.900896429396428514e-02 -3.069839342838825633e-02 -3.276726316665890676e-02 -3.522030151391408043e-02 -3.807376021126374771e-02 -4.132733817167426327e-02 -4.485838977840433950e-02 -4.857951424133191698e-02 -5.254041382013709821e-02 -5.671486832381866100e-02 -6.099563489244592268e-02 -6.562380485386028195e-02 -7.086464488785002014e-02 -7.667968509209252548e-02 -8.246086231549180912e-02 -8.775353312677304507e-02 -9.242296201328334404e-02 -9.592856915505186544e-02 -9.808789190012823234e-02 -9.856886128809863590e-02 -9.718949349665120807e-02 -9.408246187800466120e-02 -8.969932847458053637e-02 -8.431192997776572329e-02 -7.839363875877078391e-02 -7.231275644309564932e-02 -6.637938375863478013e-02
1.400000000000000000e+01 6.897981511307165088e-03 1.023628702299268604e-02 1.258119730712138618e-02 1.389247520426636733e-02 1.411839361918931605e-02 1.370349434593889047e-02 1.286056762482295016e-02 1.173890515386096477e-02 1.073543010696199548e-02 1.025682842292468394e-02 1.033555427077187915e-02 1.093965575736223494e-02 1.205377888070206446e-02 1.351401012788142238e-02 1.529450440700133758e-02 1.727652778636567382e-02 1.941404011401217169e-02 2.156356718839743183e-02 2.350700902626568292e-02 2.535382389343086851e-02 2.694832450464913071e-02 2.821439713711024200e-02 2.906677771561069074e-02 2.932923596416654038e-02 2.904985181213435436e-02 2.812818871595623715e-02 2.668395189407004112e-02 2.471053487877973229e-02 2.220348974135135170e-02 1.917558116306639429e-02 1.575205646928541994e-02 1.180183107321390590e-02 7.585527352756713491e-03 3.293524203911106681e-03 -1.247029907130233102e-03 -6.190569845001539159e-03 -1.133065387926484799e-02 -1.596983330146185820e-02 -1.980941324252860625e-02 -2.277923369014406979e-02 -2.461320904002912979e-02 -2.537529574347730313e-02 -2.493466141150452522e-02 -2.320336171206092632e-02 -2.017077238160835603e-02 -1.601572920882579285e-02 -1.065321424360450922e-02 -4.256389143021428213e-03 2.997133651027677863e-03 1.084273016475152673e-02
1.500000000000000000e+01 4.630301051835625237e-01 4.700011399066729156e-01 4.754821713856526300e-01 4.797402795735978831e-01 4.826523521101781511e-01 4.846125465089143880e-01 4.857032792565669777e-01 4.857633506800130285e-01 4.853167894978162034e-01 4.849733797002895863e-01 4.847689999133613648e-01 4.845601077697742065e-01 4.844863246961119141e-01 4.844173607198259957e-01 4.845271373701604545e-01 4.848944600772625568e-01 4.854233846894440707e-01 4.861420009180312252e-01 4.870497431802955357e-01 4.882786323012693330e-01 4.896942929277379175e-01 4.912945659273903476e-01 4.930302498494922303e-01 4.947507852351397117e-01 4.964139410503806693e-01 4.978418051209316242e-01 4.991863522915433449e-01 5.003987857634412117e-01 5.012542212006667608e-01 5.015807125570250768e-01 5.014613128442109158e-01 5.008303716938227179e-01 4.999970099056890160e-01 4.989953390469699657e-01 4.977412806767679831e-01 4.962504795288211201e-01 4.946715157222130177e-01 4.933616747925435031e-01 4.922901556786966060e-01 4.915668601346143696e-01 4.912815881015740738e-01 4.913518939338570868e-01 4.917465892044273201e-01 4.924705371497026252e-01 4.935340816554217303e-01 4.949482956995823191e-01 4.967745471019959780e-01 4.990351915281621697e-01 5.018041460449013114e-01 5.049975385836950048e-01
1.600000000000000000e+01 4.501937777604725910e-01 4.578067540066333430e-01 4.640131069041568690e-01 4.690279398908017705e-01 4.726610183597763082e-01 4.753834215760318060e-01 4.771312964337081630e-01 4.776455365925985630e-01 4.774792135459325904e-01 4.773585352522604630e-01 4.773512921872410941e-01 4.772880174027487321e-01 4.773231047522255022e-01 4.773067120385637851e-01 4.774346821672798002e-01 4.778413643708795955e-01 4.783676294109347471e-01 4.790365621198787172e-01 4.798159202920023736e-01 4.807577860786506618e-01 4.816153543220415556e-01 4.823713944637833539e-01 4.829999776879589923e-01 4.833791398409886253e-01 4.835142272459301838e-01 4.832469479659045608e-01 4.827974289175712141e-01 4.821437565396680114e-01 4.810284382000146186e-01 4.794027330794239927e-01 4.774919851695830775e-01 4.752065840037039690e-01 4.728156640304391756e-01 4.704145123167574050e-01 4.678966295125376873e-01 4.652334644642929784e-01 4.625950907208654650e-01 4.603649317078333802e-01 4.585288929213983122e-01 4.571751654085947636e-01 4.564308812520813108e-01 4.561777060736793565e-01 4.564036223600259068e-01 4.570696277098109106e-01 4.581829684705638339e-01 4.597371960080541275e-01 4.618738710166188088e-01 4.646129448984818167e-01 4.679785342817879834e-01 4.719204868843742129e-01
1.700000000000000000e+01 6.180913366345026638e-01 6.235036909166928876e-01 6.275226080535502016e-01 6.304447238768353667e-01 6.322530834076530715e-01 6.332372834846135001e-01 6.335852247623807720e-01 6.332933857978287895e-01 6.327875648552532262e-01 6.324921309865073615e-01 6.324076303760631790e-01 6.324637245643062178e-01 6.327338904573505118e-01 6.330940928043894411e-01 6.336404900499664761e-01 6.343548625449281220e-01 6.352182480065574621e-01 6.362292971985860079e-01 6.374136078295268293e-01 6.389586138411533778e-01 6.408665212807546085e-01 6.431721200934448213e-01 6.458154383397461951e-01 6.486372471179655541e-01 6.515666074572824540e-01 6.544340138025311893e-01 6.573520727859918367e-01 6.602545689629273351e-01 6.629223862693814917e-01 6.650417512599283709e-01 6.665288134746705229e-01 6.672610471280362443e-01 6.674447377763449429e-01 6.671152573868688318e-01 6.662152613827400094e-01 6.647032238329666498e-01 6.628476950797320688e-01 6.612143729559163408e-01 6.600152059188315601e-01 6.592340206096750643e-01 6.588962732702628999e-01 6.589169241931737142e-01 6.593754448805920765e-01 6.603291180596155829e-01 6.618188443750741001e-01 6.637594116588396709e-01 6.661887623147724202e-01 6.691177027611701078e-01 6.725510278759614380e-01 6.762109267866998064e-01
1.800000000000000000e+01 2.866127841864704595e-01 2.853216608896870232e-01 2.833213381344178994e-01 2.809979462815150320e-01 2.787377049573515619e-01 2.763063823105114114e-01 2.742095193267007347e-01 2.729072012898315913e-01 2.723594571395500097e-01 2.722180380822602497e-01 2.723578462765346986e-01 2.729558990032186494e-01 2.738949478193010711e-01 2.751700788693443589e-01 2.766651193209458959e-01 2.780598313831237900e-01 2.795927440125944852e-01 2.812009766264182975e-01 2.830073412918415743e-01 2.853359131140472682e-01 2.886725700860422461e-01 2.931165558258805315e-01 2.985982868255408484e-01 3.050304187500110231e-01 3.123188160488372112e-01 3.203934438222580394e-01 3.291801230057712635e-01 3.386509069064264077e-01 3.487810095829562140e-01 3.588161978819526809e-01 3.681345834640664672e-01 3.766107629176581040e-01 3.841976299832080555e-01 3.907565145379280902e-01 3.962930895727667102e-01 4.007431704521679516e-01 4.041944705375532521e-01 4.070478951259623446e-01 4.096850560151332754e-01 4.119090041280392134e-01 4.135761508861833802e-01 4.147788426241554305e-01 4.157402770461772756e-01 4.166727780316777929e-01 4.176088995414602434e-01 4.183489389790898683e-01 4.186217990761767482e-01 4.183735183562536930e-01 4.175667480393558950e-01 4.157360618533682550e-01
1.900000000000000000e+01 -4.600793948789043686e-01 -4.660086755550473248e-01 -4.705631187461599696e-01 -4.740322170993142015e-01 -4.763351821933347607e-01 -4.778037505241238270e-01 -4.785330882996539636e-01 -4.784260148458798212e-01 -4.779318547960371144e-01 -4.775698158604341215e-01 -4.773536033290299851e-01 -4.771616975352478973e-01 -4.770772583069342043e-01 -4.769716143786322249e-01 -4.769903683447587195e-01 -4.771778111379493259e-01 -4.774634802906119746e-01 -4.779175192119650695e-01 -4.785828937911481562e-01 -4.796293225576633845e-01 -4.809969301043047207e-01 -4.827287364715996398e-01 -4.847994032823508825e-01 -4.870372124897565103e-01 -4.893552811158026761e-01 -4.915762375509929449e-01 -4.937987135896163560e-01 -4.959457962007355336e-01 -4.978317736774470204e-01 -4.992079003386180602e-01 -5.001166177877651720e-01 -5.004805939151270033e-01 -5.006012760897208258e-01 -5.005070046319461952e-01 -5.001172702794396407e-01 -4.994923907149257936e-01 -4.987572744546419079e-01 -4.982297531934228862e-01 -4.978749197293493300e-01 -4.977521931120634791e-01 -4.979077893751437389e-01 -4.982487895805046141e-01 -4.987195500203533971e-01 -4.993136729770369930e-01 -5.000482730020167077e-01 -5.009617714096442631e-01 -5.021401550895572274e-01 -5.036323674136770068e-01 -5.054945609322372135e-01 -5.076521899325124876e-01
