x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33
1.000000000000000000e+01 -2.750245363448967861e+00 9.102402266544646903e-01 4.358005642773098987e-01 5.301748361103234553e-01 5.909129105635629875e-01 4.844052529646267757e-01 6.923959680855461540e-01 3.929638251478689837e-01 4.144992259771059229e-01 -9.784022779951683235e-01 -2.361949501510961724e+00 -4.514138932261625436e-01 6.254230536089369075e-01 8.033567645533483681e-01 -3.580414548561879684e+00 2.334838792062898516e-01 1.754311747148396217e+00 -7.406081895277843996e-01 6.651891199913356756e-01 4.983503225561624617e-01 6.040099709033399655e-01 5.121620643814805973e-01 6.108166319204901828e-01 2.435238165741867855e-01 6.992383538884858751e-01 3.509336491244867684e-01 4.452309991662391497e-01 4.123261438859923134e-01 2.714711962423742575e-01 -1.103010054328672052e+00 6.871782697670003603e-01 5.644749854081203555e-01 -4.939004796803982966e-01 5.160758461776282502e-01
1.100000000000000000e+01 -9.663262346923346513e+00 3.642724406203036724e-01 1.865090123003273481e-01 2.429176422848063621e-01 2.404648921858593968e-01 1.682673200223801513e-01 2.437188087064448838e-01 1.973028830442163095e-01 2.081991815322182249e-01 1.134934161485993825e-01 -9.372955145390420739e+00 2.154629395622446042e-01 1.018637264034180090e+00 3.735104224234520043e-01 2.622315928025744647e-01 2.553504280999010501e-01 -1.085061348976596118e+00 -2.296076246615791128e+00 7.182157013869330253e-01 1.327213735795761962e-01 5.201955874631624122e-01 5.215495259977529496e-01 3.290484411872155457e-01 2.078798945540922538e-01 3.354668632750311130e-01 1.220231098146792592e-01 -6.681618927268522246e-01 4.696240187305982666e-02 1.406483696563722852e-01 5.394150671112810658e-01 3.656472929364124047e-02 3.493632959359331269e-01 -2.266137590884884201e+00 1.831277800255708688e-01
1.200000000000000000e+01 -6.642118845024771900e+00 4.708476143921324075e-01 5.326678259642925184e-01 3.353639918370956985e-01 8.181467592091731245e-01 4.274290381611366429e-01 6.681292246789797273e-01 5.431821766893714099e-01 2.016182825398693534e-01 3.031964795655969214e-01 -6.599423905057849815e+00 -7.110569515393996287e-01 1.480893359191509884e+00 4.537398165911538106e-01 -1.544597237004074586e+00 3.505504393364888838e-01 6.128515063676356345e-01 -1.537285888148733681e+00 5.483668503260968885e-01 5.384434221585876479e-01 3.935405862626081830e-01 6.163468640018739952e-01 3.878496846130923270e-01 2.103318257876576058e-01 5.195215352112191320e-01 7.448991400394250340e-01 1.257171288044376944e-01 1.496403833217124779e-01 3.778445339639344702e-01 -8.482706447868962885e-01 7.252461076273586382e-01 3.181975939122986263e-01 -1.575140761886381302e+00 5.360411119834742610e-01
1.300000000000000000e+01 -6.845524314431073343e+00 -2.529763114352323594e-01 -1.220490403815335453e-02 5.680820878576610389e-02 7.317922151467597721e-04 7.654606320208288961e-02 -9.878082331186704577e-05 -6.201618375034794774e-03 1.748774391927050142e-01 -4.601061102771542705e-02 -7.008763760342789695e+00 1.661122344724941247e+00 6.037637460263551858e-01 -8.509867036497809067e-02 3.078249864181721307e-01 2.031564584885324765e-01 -1.033142180418217260e+00 -1.932804055518778430e+00 2.647191308493257456e-01 -2.560503216741311094e-01 -1.929820071431747053e-01 3.230540656247365278e-02 5.100389079653276647e-02 -1.620834617923513077e-01 -1.704410642418744404e-01 -1.085877985183905797e-01 -5.076267817291736373e-01 6.292322347611518929e-03 2.453024400501425117e-01 1.236191883048971762e+00 5.595246827154588126e-02 -1.817665696277307175e-01 -1.930727019010072709e+00 1.945243899396328913e-02
1.400000000000000000e+01 1.361215716802117170e-01 -5.121117123296572288e-02 4.512177377663652289e-02 3.543558366716223484e-01 1.348482196332396188e-01 1.727546677171141465e-01 -6.835425442357905002e-02 1.864235102551520806e-01 1.459483162677324974e-01 -3.968970996349170943e-01 -1.026736762121338749e-02 2.385817873661369160e-01 1.896884800591392972e+00 9.624604200274583521e-02 -1.052251166898261259e+00 3.705494838209789088e-01 4.313905220724190137e-01 -3.946048859044469781e-01 7.057149649097935740e-01 -2.204191690302668982e-01 -2.375462821715004225e-01 4.177381339223198431e-01 9.166742073377661879e-03 1.032946858743351154e-01 7.949889730226049334e-02 -8.938728405087408013e-02 -1.423491416969887291e-01 -2.203324633580540926e-01 4.923476487401543672e-02 7.266204509267966405e-03 7.186474714428093824e-01 -1.369921369955091894e-01 -1.569580890545598795e-01 -1.235608241944139429e-01
1.500000000000000000e+01 5.996870516823202824e-01 5.538377152956360794e-01 5.976297091711433307e-01 8.590568075535517378e-01 6.935306442132506133e-01 6.675186582317021999e-01 6.384765633716203981e-01 5.625411726427405057e-01 5.083022536356127663e-01 7.205110959832451423e-01 5.142735230723287643e-01 -1.266880689505538671e+00 5.555821020416286116e-01 6.698248839696984147e-01 4.806404889437368433e-01 7.191540281070317731e-01 -1.123313628719487145e+00 3.427864519499555507e-01 6.862409995238617499e-01 6.365192550625423662e-01 6.789691230788196252e-01 8.439430371294892597e-01 4.635668519003245391e-01 7.385574316581497989e-01 5.076229824084041997e-01 5.051704038218806092e-01 4.530114033181629751e-01 5.420090772849028848e-01 8.199463404602908012e-01 -1.387441382746304797e+00 -1.074217974711968449e+00 6.016200810193810256e-01 3.314261051654673884e-01 6.202600689083155316e-01
1.600000000000000000e+01 7.933523451878351507e-01 1.829778002274735638e-01 3.433363596606128221e-01 3.816611685179508440e-01 3.781881659053638045e-01 2.900791298863527601e-01 1.640535663112571707e-01 4.104405269209919771e-01 2.579056737935342958e-01 6.709375678208712168e-02 7.381048217304952974e-01 -1.828629102001873896e+00 -1.264543613312802406e-01 1.217490473802668588e-01 -3.449315522486682412e-02 4.585533335262106380e-01 -9.532268647213648638e-01 3.910316396520783222e-01 4.619087345478809503e-01 4.471389337513181905e-01 2.720372711507724195e-01 4.443878244445458869e-01 3.096197358907101238e-01 3.984441355034739618e-01 1.974236496046672396e-01 1.473347835606469147e-01 2.215288674695740090e-01 4.020562659672392014e-01 4.913975870207285546e-01 -1.271396075667578618e+00 -1.269764674517567693e+00 2.135197278889482964e-01 4.670317275340480356e-01 5.196095201636394267e-02
1.700000000000000000e+01 6.703636619623961623e-01 1.332041886043600909e-01 2.604013734944328196e-01 5.102955899575981613e-01 1.085328123174508497e-01 4.606988725070500501e-01 3.229008701017877514e-01 4.043157236752293882e-01 3.488972424926551907e-01 2.866496085298842478e-01 2.026018820788377528e-01 -2.134244178731221186e+00 5.312416861603748153e-01 7.645265448630488014e-02 -9.987191481903012757e-01 3.158086022997503295e-01 -6.265015499109478636e-01 3.471800874062166420e-01 4.268417081741833208e-01 2.171504893777093936e-01 2.155137920175974053e-01 6.041346025960161459e-01 1.850871016282864268e-01 3.304286622933250706e-01 3.689059454840918906e-01 2.132133378784571986e-01 2.105693850085673113e-01 4.804898193380135463e-01 8.244974485014758270e-02 -1.642951464106261028e+00 -1.139984229013349060e+00 3.053270872651140944e-01 3.246525614122541259e-01 2.735692639480736821e-01
1.800000000000000000e+01 -5.990873039637245601e-01 8.920629259062724803e-02 -1.992817920139384330e-02 -1.022022114332086645e-01 -1.199613168686284800e-02 -1.470682784315176517e-01 2.334296652210504641e-01 -8.698846511351755739e-02 -2.459445348743704782e-02 5.789413050187140232e-03 -4.220478126413231279e-01 -1.559260306346903935e+00 2.545715173363500283e-01 1.664333647301960706e-01 -3.027923584485914255e-01 -4.321075603493659267e-01 -1.843417170934892102e+00 -1.866329902849626354e-01 -2.391623118728054831e-01 -2.438627648948099857e-01 -1.005908713787238978e-01 7.148739469703623527e-04 -1.383816263662359103e-01 4.720892845319583225e-02 2.301434962041726540e-01 -1.745025406159740888e-01 -2.994898070590477565e-02 -2.521489085948470654e-01 -1.259784172591948137e-01 -1.298876814923931589e+00 -1.377014070703250992e+00 2.774386059679692998e-02 -2.574052751137062556e-01 9.808941403138948800e-02
1.900000000000000000e+01 -1.891230739181021525e-01 -5.390368178859055170e-01 -2.639410938568261811e-01 -3.728732735615379879e-01 -4.286458287966288805e-01 -3.639085774142777896e-01 -2.801379247234120351e-01 -3.288682501850711537e-01 -4.466847002076508311e-01 -5.278012852184432724e-01 -1.043172886208461880e-01 1.870941489797616430e+00 -4.161882865034911005e-01 -4.960822989382717707e-01 -3.240420644675660600e-01 -5.221555022658168621e-01 1.104895420212361978e+00 -2.574708105284322923e-01 -4.287279517829408193e-01 -4.866771372129227724e-01 -3.543250397662817686e-01 -3.936301258095034061e-01 -4.358358643502124319e-01 -1.970523606241267323e-01 -4.367167597220135700e-01 -4.922986303296634780e-01 -4.457615086447618835e-01 -2.484074089424909149e-01 -6.410985147413746921e-01 1.488721683778838623e+00 9.251843014923446518e-01 -3.553702232220531942e-01 -4.955296931830524554e-01 -2.407090242488738874e-01
