x y
-2.202740470982902821e+01 1.326098486637223263e-106
-2.066392721562521473e+01 6.209338294594090033e-97
-1.930044972142140480e+01 9.668966389286460289e-88
-1.793697222721759132e+01 5.007397559315952974e-79
-1.657349473301377785e+01 8.625514209127344083e-71
-1.521001723880996614e+01 4.942628360952845336e-63
-1.384653974460615444e+01 9.423473747564964177e-56
-1.248306225040234096e+01 5.979327250415051697e-49
-1.111958475619852926e+01 1.263069859537826526e-42
-9.756107261994717561e+00 8.886507861336537562e-37
-8.392629767790904083e+00 2.083642418103363044e-31
-7.029152273587092381e+00 1.629470146932911575e-26
-5.665674779383280679e+00 4.254503190086019001e-22
-4.302197285179467201e+00 3.713714967457091921e-18
-2.938719790975653723e+00 1.085577948799456723e-14
-1.575242296771843797e+00 1.064961599845158870e-11
-2.117648025680303192e-01 3.515737525909876068e-09
1.151712691635783159e+00 3.920784691979238124e-07
2.515190185839593084e+00 1.487146776016327215e-05
3.878667680043406563e+00 1.953547394025289098e-04
5.242145174247220041e+00 9.606940017089497146e-04
6.605622668451029966e+00 2.629889932379418302e-03
7.969100162654843444e+00 8.463576456292264821e-03
9.332577656858656923e+00 2.367439573537791220e-02
1.069605515106246685e+01 4.255581606173056142e-02
1.205953264526628033e+01 5.900516555158385329e-02
1.342301013947009380e+01 7.050021222115722408e-02
1.478648763367390728e+01 7.446694443585566425e-02
1.614996512787772076e+01 7.521076792047479143e-02
1.751344262208152713e+01 7.609808230887897540e-02
1.887692011628534061e+01 7.563758476290741162e-02
2.024039761048915409e+01 6.684047920845857804e-02
2.160387510469296757e+01 5.364375560439233609e-02
2.296735259889678105e+01 3.852930981070344651e-02
2.433083009310059452e+01 2.574930884650253327e-02
2.569430758730440800e+01 1.707617204737991654e-02
2.705778508150821438e+01 1.037804091178189461e-02
2.842126257571202785e+01 5.664446020151486447e-03
2.978474006991584133e+01 3.288997831050964257e-03
3.114821756411965481e+01 1.869267854815290144e-03
3.251169505832346829e+01 7.775143981370786269e-04
3.387517255252728177e+01 1.718138468944926749e-04
3.523865004673108814e+01 1.542309566682213519e-05
3.660212754093490162e+01 4.924215435951552566e-07
3.796560503513871510e+01 5.336017679998494479e-09
3.932908252934252857e+01 1.934307093205595647e-11
4.069256002354634205e+01 2.335560637354809909e-14
4.205603751775015553e+01 9.381301711673699658e-18
4.341951501195396190e+01 1.253080687886621609e-21
4.478299250615778249e+01 5.565333349733425376e-26
4.614647000036158886e+01 8.218365873846223677e-31
4.750994749456540944e+01 4.035132104082238280e-36
4.887342498876921582e+01 6.587290507218896537e-42
5.023690248297302219e+01 3.575463005336120548e-48
5.160037997717684277e+01 6.452589945832854439e-55
5.296385747138064914e+01 3.871792908851891751e-62
5.432733496558446973e+01 7.724429939391538168e-70
5.569081245978827610e+01 5.123857222540514066e-78
5.705428995399208247e+01 1.130066139995726835e-86
5.841776744819590306e+01 8.286802090057663766e-96
5.978124494239970943e+01 2.020441744534240329e-105
6.114472243660353001e+01 1.637879549886428588e-115
6.250819993080733639e+01 4.414625316434232047e-126
6.387167742501115697e+01 3.956234264741387962e-137
6.523515491921496334e+01 1.178817059116098425e-148
6.659863241341876972e+01 1.167850055197338729e-160
6.796210990762259030e+01 3.846839091036450362e-173
6.932558740182639667e+01 4.213055857948960943e-186
7.068906489603021726e+01 1.534145940452572545e-199
7.205254239023402363e+01 1.857429739235877468e-213
7.341601988443784421e+01 7.477120432085459371e-228
7.477949737864165058e+01 1.000766175322226386e-242
7.614297487284545696e+01 4.453558099570948903e-258
7.750645236704927754e+01 6.589582321859214346e-274
7.886992986125308391e+01 3.241790273665116599e-290
8.023340735545690450e+01 5.302591892320950828e-307
8.159688484966071087e+01 4.940656458412465442e-324
8.296036234386451724e+01 0.000000000000000000e+00
8.432383983806833783e+01 0.000000000000000000e+00
8.568731733227214420e+01 0.000000000000000000e+00
8.705079482647596478e+01 0.000000000000000000e+00
8.841427232067977116e+01 0.000000000000000000e+00
8.977774981488359174e+01 0.000000000000000000e+00
9.114122730908739811e+01 0.000000000000000000e+00
9.250470480329120448e+01 0.000000000000000000e+00
9.386818229749502507e+01 0.000000000000000000e+00
9.523165979169883144e+01 0.000000000000000000e+00
9.659513728590265202e+01 0.000000000000000000e+00
9.795861478010645840e+01 0.000000000000000000e+00
9.932209227431027898e+01 0.000000000000000000e+00
1.006855697685140854e+02 0.000000000000000000e+00
1.020490472627178917e+02 0.000000000000000000e+00
1.034125247569217123e+02 0.000000000000000000e+00
1.047760022511255187e+02 0.000000000000000000e+00
1.061394797453293393e+02 0.000000000000000000e+00
1.075029572395331456e+02 0.000000000000000000e+00
1.088664347337369520e+02 0.000000000000000000e+00
1.102299122279407584e+02 0.000000000000000000e+00
1.115933897221445932e+02 0.000000000000000000e+00
1.129568672163484138e+02 0.000000000000000000e+00
