x y_gt y_pr
1.014108999999999927e+00 5.289999999999999147e-01 8.978335090595519485e-01
1.014304000000000094e+00 5.310000000000000275e-01 9.123691750982332316e-01
1.014871000000000079e+00 5.009999999998999698e-01 9.443589311102336126e-01
1.015648000000000106e+00 5.020000000000000018e-01 9.988788539106645548e-01
1.015843000000000051e+00 5.579999999999000204e-01 1.021936079333590985e+00
1.016401000000000110e+00 6.459999999998999876e-01 1.059032243056996947e+00
1.016988999999999921e+00 7.010000000000000675e-01 1.131959083407353850e+00
1.016971000000000069e+00 6.719999999999999307e-01 1.154465849002913602e+00
1.016747000000000067e+00 7.039999999999999591e-01 1.154668318768035329e+00
1.017260000000000053e+00 7.600000000000000089e-01 1.209472264094762828e+00
1.018177000000000110e+00 7.860000000000000320e-01 1.286971243809132526e+00
1.017872000000000110e+00 7.329999999998999538e-01 1.275336652630887802e+00
1.017754000000000048e+00 7.349999999999000666e-01 1.278851287190380770e+00
1.017887999999999904e+00 7.909999999999000053e-01 1.296758856436914575e+00
1.017957000000000001e+00 8.239999999999000346e-01 1.308889405036658848e+00
1.018372999999999973e+00 8.499999999998999467e-01 1.345720400964397712e+00
1.018421000000000021e+00 8.279999999999999583e-01 1.377939573893629532e+00
1.019140000000000157e+00 8.840000000000000080e-01 1.466178407141932594e+00
1.019191000000000180e+00 9.409999999999000275e-01 1.511926305812376192e+00
1.019330999999999987e+00 9.979999999999999982e-01 1.523296122786344853e+00
1.019601999999999897e+00 1.024000000000000021e+00 1.554710415080503338e+00
1.019671999999999912e+00 1.057999999999999829e+00 1.597730380285222074e+00
1.020737999999999923e+00 1.146000000000000130e+00 1.712477058144139530e+00
1.020782000000000078e+00 1.258999999999999897e+00 1.723563237650693303e+00
1.021373000000000086e+00 1.316999999999900028e+00 1.780040906120094357e+00
1.021665000000000045e+00 1.263000000000000123e+00 1.807547645645036560e+00
1.022391999999999967e+00 1.320999999999999952e+00 1.875516796792434659e+00
1.022294000000000036e+00 1.433999999999999941e+00 1.882934931822667357e+00
1.023681000000000063e+00 1.554999999999999938e+00 2.022450670912510073e+00
1.023952999999999891e+00 1.645000000000000018e+00 2.104282038819407230e+00
1.024467000000000017e+00 1.646999999999900099e+00 2.177541126314010533e+00
1.025102000000000180e+00 1.816999999999900028e+00 2.265326225755395217e+00
1.025022000000000100e+00 1.994999999999999885e+00 2.306343990936208233e+00
1.025687000000000015e+00 2.172999999999899678e+00 2.388455164273161735e+00
1.026001000000000163e+00 2.262999999999999901e+00 2.435345059357375774e+00
1.027025000000000077e+00 2.354000000000000092e+00 2.544246593214781083e+00
1.027236000000000038e+00 2.500999999999899970e+00 2.599792177647132441e+00
1.028140999999999972e+00 2.648000000000000131e+00 2.720727426522392189e+00
1.028419999999999890e+00 2.739000000000000323e+00 2.775063695205034708e+00
1.029018999999999906e+00 2.830000000000000071e+00 2.884697644859984589e+00
1.029777000000000164e+00 3.009999999999899867e+00 3.004582555036904967e+00
1.030254000000000003e+00 3.157000000000000028e+00 3.077564662866117295e+00
1.030102000000000073e+00 3.249000000000000110e+00 3.081272468852505941e+00
1.030873000000000150e+00 3.308999999999900243e+00 3.225360823410151401e+00
1.031472000000000167e+00 3.367999999999899963e+00 3.332850253585868838e+00
1.032094999999999985e+00 3.491999999999900073e+00 3.424175347178957995e+00
1.032487000000000155e+00 3.528000000000000025e+00 3.490592226449503954e+00
1.033171000000000062e+00 3.531999999999899664e+00 3.599923617215083915e+00
1.033850000000000158e+00 3.536000000000000032e+00 3.739194037034355489e+00
1.034753000000000034e+00 3.571999999999899700e+00 3.856658016240011033e+00
1.035427000000000097e+00 3.608000000000000096e+00 4.064007338964331417e+00
1.035862999999999978e+00 3.611999999999900179e+00 4.177867682671871918e+00
1.037543000000000104e+00 3.673000000000000043e+00 4.478993324213674576e+00
1.037910000000000110e+00 3.758999999999899977e+00 4.554095752895971572e+00
1.038642000000000065e+00 3.787999999999899892e+00 4.680790302859630714e+00
1.039794000000000107e+00 3.791999999999899895e+00 4.916152904606762242e+00
1.040477000000000096e+00 3.819999999999899920e+00 5.050974069976193803e+00
1.041469999999999896e+00 3.905999999999900218e+00 5.271841256267442155e+00
1.041959000000000080e+00 3.991999999999999993e+00 5.366276020620402321e+00
1.042596999999999996e+00 4.020999999999899543e+00 5.502848384455767849e+00
1.042945000000000011e+00 4.025000000000000355e+00 5.574990603035750780e+00
1.043336000000000041e+00 4.110999999999999766e+00 5.681212116464751105e+00
1.044146000000000019e+00 4.262999999999899536e+00 5.851184807097283169e+00
1.045134000000000007e+00 4.438999999999899693e+00 6.168617712040473045e+00
1.045717000000000008e+00 4.525999999999999801e+00 6.441305689271108470e+00
1.047093000000000051e+00 4.701999999999999957e+00 6.741334447403097840e+00
1.047858000000000178e+00 4.936999999999899913e+00 6.935403068945254823e+00
1.048556999999999961e+00 5.114999999999999325e+00 7.080213384076039951e+00
1.050452000000000163e+00 5.242999999999899963e+00 7.423341332914667134e+00
1.051263000000000059e+00 5.428999999999999382e+00 7.623181541965666774e+00
1.052184000000000008e+00 5.639999999999999680e+00 7.950387030755373452e+00
1.053074999999999983e+00 5.825999999999999623e+00 8.246161424925199768e+00
1.054334000000000104e+00 5.954999999999899707e+00 8.545351433600565372e+00
1.055126999999999926e+00 6.110000000000000320e+00 8.950305611475805279e+00
1.056186000000000069e+00 6.320999999999899366e+00 9.319004177990247939e+00
1.057504000000000000e+00 6.557999999999999829e+00 9.593032183495514786e+00
1.058392999999999917e+00 6.746000000000000441e+00 9.860613218799409552e+00
1.059324000000000154e+00 6.892999999999999794e+00 1.015526252357793524e+01
1.059726000000000168e+00 7.082999999999899821e+00 1.024581677729586282e+01
1.061625000000000041e+00 7.420999999999999375e+00 1.079732997835311537e+01
1.062718999999999969e+00 7.667999999999899785e+00 1.109289725945576066e+01
1.063882999999999912e+00 7.825000000000000178e+00 1.142305718467286546e+01
1.064793000000000101e+00 7.983000000000000540e+00 1.209876935168337475e+01
1.065851000000000104e+00 8.139999999999998792e+00 1.240345544617279749e+01
1.067048999999999914e+00 8.380000000000000782e+00 1.290949304244071172e+01
1.068722000000000172e+00 8.621000000000000441e+00 1.350332564829601800e+01
1.070208000000000048e+00 8.895999999999999019e+00 1.409149405394207832e+01
1.071552000000000060e+00 9.171000000000001151e+00 1.453560580760562004e+01
1.072785000000000100e+00 9.421000000000001151e+00 1.501419068262265277e+01
1.073472999999999900e+00 9.696999999999899700e+00 1.555220695659559560e+01
1.074166000000000176e+00 1.004000000000000092e+01 1.630689616021919264e+01
1.076311000000000018e+00 1.034999999999999964e+01 1.700525151026885240e+01
1.077626999999999891e+00 1.063499999999999979e+01 1.751055979640426230e+01
1.079220000000000068e+00 1.091299999999990078e+01 1.816521735009880345e+01
1.079838000000000076e+00 1.119299999999999962e+01 1.864713690187507211e+01
1.081760000000000055e+00 1.149799999999999933e+01 1.945613141410735736e+01
1.082278000000000073e+00 1.187000000000000099e+01 1.984893934997843701e+01
1.083779000000000048e+00 1.218400000000000105e+01 2.064447584814961800e+01
1.085005999999999915e+00 1.248799999999990007e+01 2.143986297135677077e+01
1.086427000000000032e+00 1.280199999999999960e+01 2.293110278874574703e+01
1.087285000000000057e+00 1.314199999999999946e+01 2.356633121659399777e+01
1.088708000000000009e+00 1.342399999999999949e+01 2.437668867068251899e+01
1.090648999999999980e+00 1.376499999999999879e+01 2.549947717634591982e+01
1.091779000000000055e+00 1.401299999999999990e+01 2.619937435229278933e+01
1.093798999999999966e+00 1.429499999999999993e+01 2.751051347297862648e+01
1.094543999999999961e+00 1.463799999999999990e+01 2.826889867738899298e+01
1.096300000000000052e+00 1.504100000000000037e+01 2.976219571577134815e+01
