x y_gt y_pr
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.990679999999999561e-01 4.600000000000003392e-02 -1.199336005794546799e-05
9.995389999999999553e-01 -3.199999999999991046e-02 -9.173731711511991908e-06
1.001347999999999905e+00 -1.419999999998999840e-01 3.439268848692537267e-02
1.001762000000000041e+00 -9.499999999999991784e-02 4.506370232393581282e-02
1.002075999999999967e+00 -3.999999999999880387e-03 5.329150608753761148e-02
1.002477999999999980e+00 7.500000000000019151e-02 6.389033706707372695e-02
1.003586000000000089e+00 6.500000000000016875e-02 9.316612493792285343e-02
1.004134000000000082e+00 2.989999999999999880e-01 1.083872725826489081e-01
1.004556000000000004e+00 3.780000000000000027e-01 1.213730426013925334e-01
1.004934999999999912e+00 3.800000000000000044e-01 1.341418448111390826e-01
1.004950000000000010e+00 3.810000000000000053e-01 1.354038249062899935e-01
1.005997999999999948e+00 4.279999999999999916e-01 1.658787303628027898e-01
1.006413000000000002e+00 5.839999999999999636e-01 1.790224278085321419e-01
1.007217000000000029e+00 6.640000000000000346e-01 2.030045288888143173e-01
1.007899000000000100e+00 7.110000000000000764e-01 2.257900311309767316e-01
1.008764999999999912e+00 7.910000000000000364e-01 2.548460017578620396e-01
1.009390000000000009e+00 9.150000000000000355e-01 2.752110682504065875e-01
1.010585000000000067e+00 1.106000000000000094e+00 3.136144045995822305e-01
1.010899999999999910e+00 1.152000000000000135e+00 3.250713789157150813e-01
1.011594000000000104e+00 1.189000000000000057e+00 3.475521532732045449e-01
1.012550999999999979e+00 1.224999999999999867e+00 3.840619812037880942e-01
1.013004000000000016e+00 1.338999999999999968e+00 4.020829918743186182e-01
1.013892000000000015e+00 1.264000000000000012e+00 4.342270003576804149e-01
1.015222000000000069e+00 1.300000000000000044e+00 4.832686479913443356e-01
1.015759999999999996e+00 1.381000000000000005e+00 5.086049772787101242e-01
1.016547000000000089e+00 1.462999999999899936e+00 5.414313179814677079e-01
1.017017000000000060e+00 1.579000000000000181e+00 5.637763397888968520e-01
1.018299999999999983e+00 1.616000000000000103e+00 6.163149836589427721e-01
1.018558999999999992e+00 1.618999999999999995e+00 6.307956932558123064e-01
1.020245999999999986e+00 1.655000000000000027e+00 6.974795334484863440e-01
1.020936999999999983e+00 1.657999999999999918e+00 7.341927888013867198e-01
1.021160999999999985e+00 1.694999999999999840e+00 7.537477876865563697e-01
1.022467000000000015e+00 1.698000000000000176e+00 8.069179729619467834e-01
1.023228999999999944e+00 1.735000000000000098e+00 8.516406895676715827e-01
1.024232999999999949e+00 1.737999999999999989e+00 8.963122016421855021e-01
1.024731999999999976e+00 1.740999999999999881e+00 9.244199675221269619e-01
1.025344000000000033e+00 1.743999999999899853e+00 9.578617835281103554e-01
1.026154000000000011e+00 1.747000000000000108e+00 9.901923545430962870e-01
1.027206000000000063e+00 1.750000000000000000e+00 1.043202677815574075e+00
1.027667000000000108e+00 1.752999999999999892e+00 1.076217361013830809e+00
1.028388999999999998e+00 1.756000000000000005e+00 1.113323754172376834e+00
1.029219000000000106e+00 1.678999999999999826e+00 1.157133389869684281e+00
1.029960999999999904e+00 1.681999999999999940e+00 1.203472567868419496e+00
1.030837000000000003e+00 1.685000000000000053e+00 1.248565102606776556e+00
1.032092000000000009e+00 1.735000000000000098e+00 1.315456456423144127e+00
1.033142999999999923e+00 1.737999999999999989e+00 1.369762260196573989e+00
