x y_gt y_pr
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.992800000000001681e-01 1.499999999999982424e-02 -1.741932876122481849e-06
9.999970000000000248e-01 2.699999999999989908e-02 1.772590056480518011e-04
1.000199999999999978e+00 3.799999999999983946e-02 1.238280117308971154e-03
1.000666000000000055e+00 4.600000000000003392e-02 3.849181366150965580e-03
1.001049000000000078e+00 5.400000000000001327e-02 7.102795784903100269e-03
1.001469000000000165e+00 5.999999999999994227e-02 9.897246748919376336e-03
1.001827000000000023e+00 6.599999999999986433e-02 1.252193131145429641e-02
1.002428000000000097e+00 6.799999999999992162e-02 1.680701299376113206e-02
1.002608000000000166e+00 6.899999999999983924e-02 1.901720095681356387e-02
1.003727000000000036e+00 7.099999999999988265e-02 2.702520908283736686e-02
1.005312999999999901e+00 7.299999999999992606e-02 3.831373816091714068e-02
1.005875000000000075e+00 7.499999999999998335e-02 4.359089064125280799e-02
1.006918999999999897e+00 7.599999999999990097e-02 5.272034633715318858e-02
1.008419000000000176e+00 1.119999999998999990e-01 8.787209034682075259e-02
1.008964999999999890e+00 1.489999999998999902e-01 9.920554618341295705e-02
1.009698999999999902e+00 1.499999999998999911e-01 1.110532039662251030e-01
1.011214000000000057e+00 1.519999999998999929e-01 1.328919297782013287e-01
1.011006999999999989e+00 1.539999999999999980e-01 1.354944275739230486e-01
1.011463000000000001e+00 1.549999999998999956e-01 1.422756373066972335e-01
1.011825999999999892e+00 1.570000000000000007e-01 1.519844551474600902e-01
1.012198000000000153e+00 1.589999999998999991e-01 1.624340483719985684e-01
1.012280000000000069e+00 1.599999999999000000e-01 1.790851174151118774e-01
1.012829999999999897e+00 1.969999999999999807e-01 2.187576574858841050e-01
1.013142999999999905e+00 2.339999999999000102e-01 2.305482374939235579e-01
1.013381000000000087e+00 2.359999999999999876e-01 2.478065967319228180e-01
1.014205000000000023e+00 2.369999999998999851e-01 2.721693378310594547e-01
1.014974999999999961e+00 2.390000000000000180e-01 2.928668837965437977e-01
1.015913999999999984e+00 2.409999999999000164e-01 3.198216779914246910e-01
1.016045000000000087e+00 2.779999999999999694e-01 3.301745707533199070e-01
1.016369999999999996e+00 2.799999999998999956e-01 3.433577102568473038e-01
1.016997000000000151e+00 2.810000000000000275e-01 4.156897493564966073e-01
1.017732000000000081e+00 3.189999999998999747e-01 4.544368822339830971e-01
