x y_gt y_pr
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.998000000000000220e-01 1.069999999998999946e-01 -1.845429967131334273e-06
1.000383000000000022e+00 5.999999999999972716e-02 1.039382363154653204e-02
1.002707000000000015e+00 2.099999999999975150e-02 7.402355286905137888e-02
1.004367999999999927e+00 6.699999999999978195e-02 1.199574701038595287e-01
1.006379999999999830e+00 1.069999999998999946e-01 1.760813113087606741e-01
1.007229999999999848e+00 1.410000000000000142e-01 2.000390474968694043e-01
1.007824999999999971e+00 1.079999999999999988e-01 2.168427562089982885e-01
1.008544000000000107e+00 1.099999999998999972e-01 2.372299824356154385e-01
1.009117999999999959e+00 2.030000000000000138e-01 2.535980316188136130e-01
1.011165000000000092e+00 3.329999999998999871e-01 3.120884421681973664e-01
1.012201999999999824e+00 3.089999999999000213e-01 3.419519530841477195e-01
1.012772000000000006e+00 2.849999999999999756e-01 3.586253757950662036e-01
1.013678999999999997e+00 3.149999999998999711e-01 3.859804780282359848e-01
1.015057000000000098e+00 3.819999999998999751e-01 4.264904925045419071e-01
1.016755999999999993e+00 4.489999999998999791e-01 4.764930265552915767e-01
1.018093999999999832e+00 4.529999999998999827e-01 5.165691656514588281e-01
1.018728000000000078e+00 4.829999999999000093e-01 5.359015117634389203e-01
1.020291999999999977e+00 5.130000000000000115e-01 5.839151099298999226e-01
1.020494999999999930e+00 5.439999999999000080e-01 5.902893578708913180e-01
1.021516000000000091e+00 6.109999999999999876e-01 6.206212874029087834e-01
1.022309999999999830e+00 5.779999999999999583e-01 6.454387418631795104e-01
1.023193999999999937e+00 5.809999999998999298e-01 6.728704424076150659e-01
1.024072000000000093e+00 6.470000000000000195e-01 7.004540667591833136e-01
1.024848999999999899e+00 6.879999999998999138e-01 7.266013006014487852e-01
1.025852999999999904e+00 7.299999999998999511e-01 7.588836345270483230e-01
1.027441999999999966e+00 7.339999999998999547e-01 8.092287624627224618e-01
1.028934000000000015e+00 8.649999999999000710e-01 8.564748117382231518e-01
1.029970999999999970e+00 9.329999999998999094e-01 8.894615330443622625e-01
1.031008999999999842e+00 9.740000000000000879e-01 9.233578086163045651e-01
1.031717999999999913e+00 1.016000000000000014e+00 9.485977018181510623e-01
1.032181999999999933e+00 1.121999999999899966e+00 9.657399992919252218e-01
1.032567999999999930e+00 1.226000000000000201e+00 9.817810422131622028e-01
1.033420000000000005e+00 1.368000000000000105e+00 1.010591484541149443e+00
1.033536000000000010e+00 1.409999999999900000e+00 1.016800825334439606e+00
1.033598999999999934e+00 1.479000000000000092e+00 1.019850521926812803e+00
1.033860999999999919e+00 1.649999999999899991e+00 1.031650587665985830e+00
1.033428000000000013e+00 1.912999999999900114e+00 1.021501925887136952e+00
1.033960999999999908e+00 2.047999999999900123e+00 1.039852520548246728e+00
1.034598999999999824e+00 2.089999999999999858e+00 1.063285886480717757e+00
1.034759999999999902e+00 2.094999999999899831e+00 1.071837811385711214e+00
1.035686000000000107e+00 2.266999999999999904e+00 1.105801009920835964e+00
1.036111000000000004e+00 2.402999999999900105e+00 1.124017930776171292e+00
1.036882999999999999e+00 2.548000000000000043e+00 1.151253153934154394e+00
1.037494999999999834e+00 2.683999999999899799e+00 1.175113686839368343e+00
1.038238999999999912e+00 2.783999999999999808e+00 1.209594696700162730e+00
1.039436999999999944e+00 2.892999999999899874e+00 1.255516978844801956e+00
1.040451999999999932e+00 3.029999999999899885e+00 1.294092224130935609e+00
1.040904999999999969e+00 3.129999999999999893e+00 1.315597626002351417e+00
1.041992999999999947e+00 3.266999999999999904e+00 1.360751142834830008e+00
1.042483999999999966e+00 3.338999999999999968e+00 1.383029097028385612e+00
1.043675999999999826e+00 3.411000000000000032e+00 1.432343429332675555e+00
1.044318000000000080e+00 3.418000000000000149e+00 1.465160794312971637e+00
1.045242000000000004e+00 3.490000000000000213e+00 1.507792563955373089e+00
1.046397999999999939e+00 3.562000000000000277e+00 1.557013457603465545e+00
1.046597999999999917e+00 3.661999999999999922e+00 1.572717915834243474e+00
1.047427000000000108e+00 3.696999999999900144e+00 1.607255755017732213e+00
1.048860999999999821e+00 3.703999999999999737e+00 1.668701216884652450e+00
1.049700999999999995e+00 3.739000000000000323e+00 1.709257754830550091e+00
1.050370999999999944e+00 3.746999999999899966e+00 1.747982887641276406e+00
1.052019999999999955e+00 3.753999999999900083e+00 1.822504814451185728e+00
1.053137999999999908e+00 3.760999999999899757e+00 1.881128500950939753e+00
1.054226000000000107e+00 3.806999999999900020e+00 1.928931048901431966e+00
1.055120999999999976e+00 3.813999999999900137e+00 1.986583461447317012e+00
1.056642000000000081e+00 3.822000000000000064e+00 2.058487636183206071e+00
1.057855999999999908e+00 3.828999999999999737e+00 2.112698014983743988e+00
1.059791999999999845e+00 3.835999999999999854e+00 2.206973739938905776e+00
1.060964999999999936e+00 3.910999999999899668e+00 2.277969407379536460e+00
1.062068000000000012e+00 4.024000000000000021e+00 2.343940031218423314e+00
1.063468000000000080e+00 4.097999999999999865e+00 2.416115770127784224e+00
1.064699999999999980e+00 4.105000000000000426e+00 2.485203489952255484e+00
1.065547999999999940e+00 4.179999999999999716e+00 2.540133877007547003e+00
1.067196999999999951e+00 4.294000000000000483e+00 2.638863478459140932e+00
1.068292999999999937e+00 4.407999999999999474e+00 2.710905562279999792e+00
1.068894999999999929e+00 4.415000000000000036e+00 2.737873999615109799e+00
1.070089999999999986e+00 4.421999999999999709e+00 2.801826443285319712e+00
1.072007999999999850e+00 4.498000000000000220e+00 2.914453571171054413e+00
1.073007999999999962e+00 4.603000000000000647e+00 2.977350411299327870e+00
1.075536999999999965e+00 4.746999999999899522e+00 3.120283350312544002e+00
1.076591000000000076e+00 4.753999999999900083e+00 3.205113027127721725e+00
1.078357000000000010e+00 4.799999999999999822e+00 3.300235382998471856e+00
1.080280999999999825e+00 4.944999999999999396e+00 3.427744711903853325e+00
1.081420999999999966e+00 5.060999999999899579e+00 3.518904817615268410e+00
