x y_gt y_pr
1.000000000000000000e+00 0.000000000000000000e+00 -1.058791184067875424e-19
9.993090000000000028e-01 1.600000000000001074e-02 -9.353305984217374474e-06
9.995330000000000048e-01 -3.400000000000001632e-02 -6.314129850000081209e-06
1.000043999999999933e+00 -1.800000000000000211e-02 -1.459179550524110824e-06
1.000439999999999996e+00 1.360000000000000098e-01 1.174388825868726179e-02
9.991839999999999611e-01 1.369999999999999829e-01 -3.061208731421596279e-06
1.000388000000000055e+00 1.810000000000000220e-01 2.207830205321616515e-02
1.000931999999999933e+00 1.369999999999999829e-01 3.633480468904999594e-02
1.001870000000000038e+00 1.379999999999000082e-01 5.983362594306165100e-02
1.002275999999999945e+00 1.789999999998999891e-01 7.144463969015610316e-02
1.003422999999999954e+00 1.799999999998999900e-01 1.205289624681615546e-01
1.003889999999999949e+00 2.939999999999000080e-01 1.616161404146134739e-01
1.005775000000000086e+00 2.939999999999000080e-01 2.019586809671229943e-01
1.006615000000000038e+00 2.620000000000000107e-01 2.225774716146297072e-01
1.007209000000000021e+00 1.799999999998999900e-01 2.381499938473046751e-01
1.008443999999999896e+00 1.810000000000000220e-01 2.686042248527913956e-01
1.009771999999999892e+00 2.239999999999000013e-01 2.982756747117989993e-01
1.010980999999999908e+00 2.239999999999000013e-01 3.246372626378988824e-01
1.012046000000000001e+00 1.510000000000000231e-01 3.529674950414243284e-01
1.011557999999999957e+00 3.799999999999999906e-02 4.002363938398197374e-01
1.012385000000000090e+00 1.119999999998999990e-01 4.222135611952050338e-01
1.013177999999999912e+00 1.129999999998999999e-01 4.505315525681188316e-01
1.013824999999999976e+00 1.969999999999000051e-01 4.830682016735688422e-01
1.014348000000000027e+00 2.390000000000000180e-01 4.943778397557402338e-01
1.013670000000000071e+00 2.809999999998999964e-01 4.960282335680307186e-01
1.016021000000000063e+00 2.819999999998999973e-01 5.504464919233398312e-01
1.016566000000000081e+00 2.840000000000000302e-01 5.833571558681301950e-01
1.017392000000000074e+00 4.410000000000000031e-01 6.526370740941367377e-01
1.018227999999999911e+00 5.879999999999999671e-01 6.931561290829748589e-01
1.018231000000000108e+00 6.719999999999999307e-01 6.918311967530219597e-01
1.018536000000000108e+00 6.730000000000000426e-01 7.135958571966022346e-01
1.019657000000000036e+00 6.740000000000000435e-01 7.388289206333567005e-01
1.019881999999999955e+00 7.590000000000000080e-01 7.561325200889563725e-01
1.021182000000000034e+00 8.739999999999999991e-01 8.486810415406124131e-01
1.022197999999999940e+00 9.169999999999999263e-01 8.859691579346110624e-01
1.022342000000000084e+00 8.870000000000000107e-01 9.069949117899722690e-01
1.023276000000000074e+00 8.880000000000000115e-01 9.378196278707205957e-01
1.023400000000000087e+00 8.890000000000000124e-01 9.508288817424238593e-01
1.023776000000000019e+00 8.899999999999999023e-01 9.638106622048903116e-01
1.024928999999999979e+00 8.910000000000000142e-01 1.041802811435616816e+00
1.025349000000000066e+00 8.920000000000000151e-01 1.078001574548559161e+00
1.025028000000000050e+00 8.930000000000000160e-01 1.080705445706175105e+00
1.026888999999999941e+00 8.209999999999999520e-01 1.135433860417969454e+00
1.027300000000000102e+00 7.900000000000000355e-01 1.157938060721376283e+00
1.026944999999999997e+00 7.910000000000000364e-01 1.179169920679063122e+00
1.028821999999999903e+00 7.919999999999999263e-01 1.279953071661920294e+00
1.029112000000000027e+00 7.940000000000000391e-01 1.290019152781597622e+00
1.030586999999999920e+00 7.950000000000000400e-01 1.339789394763574837e+00
1.031255999999999950e+00 7.960000000000000409e-01 1.374881140924948175e+00
1.031579000000000024e+00 8.289999999999999591e-01 1.393415212618217547e+00
1.032113000000000058e+00 8.619999999999999885e-01 1.410674219780545746e+00
1.032793999999999990e+00 8.630000000000001004e-01 1.504151779200800343e+00
1.033179000000000070e+00 8.639999999999999902e-01 1.526654560106291303e+00
1.034254999999999924e+00 8.649999999999999911e-01 1.569936596614107449e+00
1.034640999999999922e+00 8.989999999999999103e-01 1.600305947505315185e+00
1.034759999999999902e+00 9.319999999999999396e-01 1.619346402637376503e+00
1.034958000000000045e+00 1.008000000000000007e+00 1.638156285273114188e+00
1.035468999999999973e+00 1.008999999999999897e+00 1.679297002419450457e+00
1.035819999999999963e+00 1.010000000000000009e+00 1.703794289148380603e+00
1.036529999999999951e+00 1.086999999999999966e+00 1.755423168679584478e+00
1.037334999999999896e+00 1.164000000000000146e+00 1.818433071745187757e+00
1.039304000000000006e+00 1.196999999999999842e+00 1.910047179701656939e+00
1.039495999999999976e+00 1.197999999999999954e+00 1.945647401842315993e+00
1.039724000000000093e+00 1.231999999999999984e+00 1.984747576620161658e+00
1.040351000000000026e+00 1.276999999999999913e+00 2.020610308174935810e+00
1.041382999999999948e+00 1.397999999999999909e+00 2.092781937933680947e+00
1.042335000000000012e+00 1.431000000000000050e+00 2.143620773380167766e+00
1.043303000000000091e+00 1.431999999999999940e+00 2.196167481289151180e+00
1.044834999999999958e+00 1.508999999999999897e+00 2.260900583026888899e+00
1.045123000000000024e+00 1.586999999999899824e+00 2.291905806940474744e+00
1.045806999999999931e+00 1.665000000000000036e+00 2.339076763328228559e+00
1.046122999999999914e+00 1.590999999999999970e+00 2.375593864653978482e+00
1.047107000000000010e+00 1.592000000000000082e+00 2.435465833256209134e+00
1.048583000000000043e+00 1.625000000000000000e+00 2.543183475325570875e+00
1.048639000000000099e+00 1.703999999999999959e+00 2.562737416399679891e+00
1.049744000000000010e+00 1.739000000000000101e+00 2.622786177876519798e+00
1.049963999999999897e+00 1.707999999999899821e+00 2.656824181997869072e+00
1.050308000000000019e+00 1.740999999999999881e+00 2.700150303785561867e+00
1.052184000000000008e+00 1.820000000000000062e+00 2.785548568621560861e+00
1.052972999999999937e+00 1.899000000000000021e+00 2.871968177150094448e+00
1.053188000000000013e+00 1.824999999999999956e+00 2.905548846041638988e+00
1.054448000000000052e+00 1.792999999999900007e+00 2.958480226258537016e+00
1.055371000000000059e+00 1.871999999999999886e+00 3.028353578715694105e+00
1.055933000000000010e+00 1.906999999999900108e+00 3.108057583150803271e+00
1.057911000000000046e+00 1.952999999999899927e+00 3.209654810055698526e+00
1.059490999999999961e+00 1.923000000000000043e+00 3.305263035614995015e+00
1.060046000000000044e+00 1.923999999999999932e+00 3.346394845098090265e+00
1.060915000000000052e+00 2.001999999999999780e+00 3.397341155573028626e+00
1.061390999999999973e+00 2.080999999999999961e+00 3.469163170769043347e+00
1.061919000000000057e+00 2.116999999999999993e+00 3.511533373301179761e+00
1.062859999999999916e+00 2.164000000000000146e+00 3.595116530832803470e+00
1.064065000000000039e+00 2.319999999999999840e+00 3.669362425424577800e+00
1.063908999999999994e+00 2.443999999999999950e+00 3.720723079489590912e+00
1.066113000000000088e+00 2.491000000000000103e+00 3.845633537433954974e+00
1.066940999999999917e+00 2.527000000000000135e+00 3.914181418549217195e+00
1.066785000000000094e+00 2.685000000000000053e+00 3.930630198432311317e+00
1.068176000000000014e+00 2.963999999999999968e+00 4.031611554476798531e+00
1.069280999999999926e+00 3.077999999999999847e+00 4.149610258377683714e+00
1.070743999999999918e+00 3.203000000000000291e+00 4.232747862797996419e+00
1.072343999999999964e+00 3.362000000000000099e+00 4.336854229500406888e+00
1.073871999999999938e+00 3.564999999999999947e+00 4.481883673020598202e+00
1.074384999999999923e+00 3.846000000000000085e+00 4.549031929655106055e+00
1.075634999999999897e+00 4.083000000000000185e+00 4.662652145195231412e+00
1.075973999999999986e+00 4.286999999999999922e+00 4.726270436500497496e+00
1.077431000000000028e+00 4.413999999999899337e+00 4.844707152871609246e+00
1.078815999999999997e+00 4.573999999999999844e+00 4.941117840104786829e+00
1.080351999999999979e+00 4.733999999999899622e+00 5.071940353505852705e+00
