sgmxx sgmyy sgmxy
1.281935340102791088e-07 -1.189492238040656957e-08 3.082073707361132620e-09
4.804551068104956357e-08 -8.581515942296391586e-09 3.407844229030843053e-09
-1.172366808077640599e-07 -5.579888107121178109e-09 3.193732167616758488e-09
-2.795033005043023877e-08 -6.053147760809451938e-09 3.428099359936709334e-09
8.446900778835697565e-08 -6.473574565291073668e-09 3.320948183116456676e-09
-2.000673617885695421e-07 -1.486628153912761263e-09 3.057217590196614765e-09
-6.616958536653783085e-09 -4.494545624567081177e-09 3.478511034771258892e-09
3.129720198558061384e-07 -1.561174656217190204e-08 2.060687176452802305e-09
-3.786645663694798714e-07 -4.639463035971402860e-09 2.496565620901947113e-09
-3.888031230303568009e-08 -9.948331936016074906e-09 2.619525041325232451e-09
-1.893373458017322264e-08 -7.638117693886670168e-09 3.497894196513584575e-09
2.690947464856208171e-09 -5.090259769247040822e-09 3.464048825563281753e-09
-2.222689232667107717e-08 -4.828461519501558996e-10 3.496730016649962636e-09
-7.614415409307184746e-08 -4.822275911919859936e-09 3.369033496625206681e-09
-3.961661931839444151e-08 -5.856170659512827115e-09 3.132807346872823473e-09
7.941545021594720311e-08 -2.054940884121947420e-09 3.488789701577843516e-09
2.786549089250911493e-07 2.174402435883848739e-09 2.830971235212587089e-09
-2.658577500369574409e-07 1.131704774337549679e-08 2.969148038545199597e-09
1.056449328018516098e-08 -2.477156257896240277e-09 3.357724986940979761e-09
1.676243300607893616e-06 -2.001027255005283223e-08 -5.070432074205655226e-09
-1.275674776479718275e-06 7.401687041053151006e-10 1.051890130554511416e-09
-1.684317965100490255e-07 -7.049932637670508484e-09 3.298670891993538135e-09
3.887260504598089028e-07 -6.499603966148015388e-09 1.316443287713298105e-09
-5.442056476567813661e-07 5.813289405409705068e-09 1.898418311441218975e-09
3.082586985669877322e-08 1.210146871599704355e-09 3.462379272178850442e-09
-6.463811264012520041e-09 -4.274237408452563614e-09 3.509521784295088764e-09
-3.450808350180523121e-08 1.161767237967126221e-09 3.481437138574960954e-09
8.166514220420140191e-08 9.147245183527275003e-10 3.563854100718799600e-09
3.082699961964863178e-08 -3.868261821970975234e-10 3.104663637287785605e-09
-2.099444174064046820e-07 2.607506033314166416e-08 3.283598726255831934e-09
-9.418232416180671862e-09 -6.648774308892768659e-10 2.077414018586409838e-09
-1.995157532519442611e-07 1.559804285733434881e-09 2.915168773043319561e-09
2.711551871925621526e-07 -9.804864021134562790e-06 2.011993061046268849e-08
6.394392215725019923e-08 -5.146614512341329828e-06 5.661547675117617473e-09
-1.133972915567937889e-07 -5.883596713829319924e-06 8.992032007881789468e-09
2.824916407462296775e-07 -3.330939762236084789e-06 -6.088456960817723029e-10
1.264079401153139770e-07 -2.523001603549346328e-05 2.113880626097852655e-08
4.625273390956863295e-07 -2.921859731941367500e-06 -9.053239824474701436e-10
1.083110774402484822e-07 -4.847303114452472528e-10 2.887631689318936878e-09
-1.778285536602197681e-07 -2.585929360066074878e-05 8.002692908348763012e-08
2.279868454024835955e-07 -5.633739874610910192e-06 8.387540439969143335e-09
-1.733715890850362484e-07 -3.673605306175886653e-06 1.626290435652322230e-09
-3.401459025553776883e-07 -3.662374183477368206e-06 1.830825713255990195e-09
1.405725953418368590e-07 -3.331806055939523503e-06 -3.630177547453428133e-10
-5.467159098770935088e-07 -3.260514631620026194e-06 8.418448715907800306e-10
7.334431018080067588e-08 -5.955212145636323839e-06 1.002039518027686427e-08
-1.174293640104906444e-08 -3.439062083998578601e-06 2.534975007684181492e-10
3.914128114956838544e-07 -1.315746267493977939e-08 -8.845081111985564348e-09
