sgmxx sgmyy sgmxy
1.252107466598317842e-07 -7.110754207673153360e-09 1.874223887199377714e-09
2.783351327195759950e-08 -5.193701912986625757e-09 1.972669139149729745e-09
-1.045086577278198092e-07 -3.089325684157984142e-09 1.884643552330089733e-09
1.342437805362806102e-08 -2.736748605514094379e-09 1.965737794762389967e-09
6.629815629821678158e-08 -2.931664244698595212e-09 1.944780558815750737e-09
-1.848665931447612820e-07 -1.367045476818873340e-09 1.815214312195223556e-09
-3.719034680216282140e-08 -3.174701390662448830e-09 1.918087466634688099e-09
2.890569419378152816e-07 -9.649253840393612336e-09 1.342166600082350669e-09
-3.525174747665005270e-07 -3.149236649235831464e-09 1.551109352071478042e-09
-2.682398303477384616e-08 -2.174529445397865857e-09 1.616430322926021290e-09
-8.045020649660727940e-08 -2.825389033844771802e-09 1.912057623343343948e-09
-3.377972035423226771e-08 -2.684418021203782700e-09 1.952192851817358132e-09
-9.078243934368401824e-09 -1.567943885838474216e-09 1.953605277549286257e-09
-5.397426150466344552e-08 -1.079897282707520390e-09 1.945384742185751747e-09
-3.122030634017392003e-08 -1.693869766672406740e-10 1.852137776481299625e-09
6.158776955089706462e-08 -9.234115694312095002e-10 2.000704268922959272e-09
2.351596180005799397e-07 2.380508457022756374e-09 1.724357656662789395e-09
-2.256478808249084977e-07 8.598212808408334240e-09 1.764899115741513924e-09
5.886891685236150806e-08 -1.897620061086513488e-09 1.533140836507129734e-09
1.715143071123748086e-06 -1.165555740811896612e-08 -4.396286001906446472e-09
-1.295548486268671695e-06 7.428849896351508164e-11 6.465579183156933141e-10
-2.646140728757018223e-07 -1.473642430305233120e-09 1.473925648198814997e-09
3.463225084487930872e-07 8.858525024635355294e-10 7.835394000288431471e-10
-5.209410005591053050e-07 4.318224000599002466e-09 1.167698715498488582e-09
1.515936247642457602e-07 -1.173856345459967088e-09 1.655853787418948286e-09
-1.330968757429218385e-07 -6.588360412784766140e-10 1.920309911085382737e-09
-2.528505582688467257e-08 2.282785516172225471e-09 1.991231401987647587e-09
5.335648012305682641e-08 2.336211224474027404e-09 2.023688994157168963e-09
1.458090981287796239e-08 4.995881486280495665e-09 1.828137308201860378e-09
-1.556538364866355550e-07 3.037892781776463380e-08 1.904932878105114469e-09
-2.325312209450203227e-08 4.505297912515970893e-09 1.259718107604612669e-09
-1.835486216350545874e-07 -1.469734889347762419e-09 1.723154174904095726e-09
1.612495168501482112e-07 -1.092327784135704860e-05 2.238488328032417485e-08
1.588928029150338261e-07 -5.803080512123415247e-06 6.982232569896495988e-09
-2.026886534167715581e-07 -6.515560471598291770e-06 1.056921483666428685e-08
3.117251594630943146e-07 -3.655778982647461817e-06 2.261686150861752509e-11
1.457457017295382684e-07 -2.769748971331864595e-05 6.271093422327567168e-09
3.555001057975459844e-07 -3.300510343251517043e-06 -1.924620046667158135e-10
1.765447450452484190e-07 -6.567463239903759131e-10 1.158933060629863121e-09
-2.498234437098290073e-07 -2.852416764653753489e-05 8.880976309910693089e-08
3.074872836350550642e-07 -6.386245331668760628e-06 1.094697754666640321e-08
-2.231765847682254389e-07 -3.968018972955178469e-06 2.581849400939972838e-09
