sgmxx sgmyy sgmxy
1.926537578356146696e-07 -1.247883485433476380e-08 3.263129544350817923e-09
7.079261621356636169e-08 -8.981419163944792672e-09 3.621423383393107542e-09
-1.751685942963376874e-07 -5.781070733235083026e-09 3.328341602326645443e-09
-3.861697450702195056e-08 -6.340349134603684433e-09 3.618236821267828418e-09
1.257884179040047457e-07 -6.701394106300995190e-09 3.506771539818487327e-09
-2.844151083536416991e-07 -1.294316098743308885e-09 3.145564475559581297e-09
-1.148473405265804104e-08 -4.552622279163642816e-09 3.668796377809258047e-09
4.340267594216129510e-07 -1.623383205640038796e-08 2.136796295459930661e-09
-5.304342494127922691e-07 -4.732682246100239354e-09 2.516819197495578919e-09
-4.691220212293956138e-08 -1.033474639200449019e-08 2.691236788976425487e-09
-3.124688774391870538e-08 -8.035638821013435518e-09 3.662572689577814344e-09
1.752491263218303175e-09 -5.210398779098568411e-09 3.651817070959850753e-09
-3.187981789665172982e-08 -3.504067869197768914e-10 3.669619053070505288e-09
-1.129266493649083714e-07 -4.953625065695632657e-09 3.519896596415605927e-09
-5.335585129273567873e-08 -6.044944544925101582e-09 3.251444447016638151e-09
1.133502252059770399e-07 -1.903622370846846934e-09 3.684186067332007042e-09
3.802419996645767242e-07 2.679468424915398828e-09 2.956753508698284350e-09
-3.619905157847824739e-07 1.281681516474009186e-08 3.029617889893643223e-09
1.941996075061069860e-08 -2.462366532895998716e-09 3.455542296748603803e-09
2.206943690907792188e-06 -2.040367164113376930e-08 -5.969012839557308325e-09
-1.688675524746940937e-06 8.703568421530860633e-10 9.475138451620068736e-10
-2.446167854941450059e-07 -7.240601451741213168e-09 3.334182485659198392e-09
4.860697231379162986e-07 -6.443389377608355062e-09 1.288979256663935757e-09
-6.832491408204077743e-07 5.715723006005646312e-09 1.868998733556281877e-09
5.362748822790308623e-08 1.366082025278103629e-09 3.587593999654359322e-09
-1.952803252436297043e-08 -4.281472953948650684e-09 3.678687576780248492e-09
-5.019328597200001241e-08 1.766045976125951711e-09 3.655064917396089186e-09
9.757494012774259318e-08 1.418454909085653526e-09 3.760375122396908409e-09
3.795267389250511769e-08 -1.093511600713803489e-10 3.223741718016981395e-09
-2.700775496577989543e-07 2.844329394235955988e-08 3.411130267139128591e-09
-1.233209090401032881e-08 -5.648982948081027189e-10 2.091700146422681428e-09
-2.397891307737154420e-07 -1.617148526200651304e-09 3.003281179303485260e-09
2.434110797366884071e-07 -1.085418716684216633e-05 2.213224270519731363e-08
8.601941914321287186e-08 -5.589397005678620189e-06 5.954702064769890058e-09
-1.328914578380135936e-07 -6.344138910208130255e-06 9.417091995089776901e-09
2.773541325495898491e-07 -3.574664788175141439e-06 -8.761369407750407845e-10
1.174470227738311223e-07 -2.793331987049896270e-05 2.287328904060359491e-08
4.235597259594214847e-07 -3.221068482162081636e-06 -8.956929087311493731e-10
1.591368032904938445e-07 -3.222699607174916991e-10 2.946912269763402037e-09
-1.994845604258443927e-07 -2.862145629478618503e-05 8.857343658519312157e-08
2.587036931345210178e-07 -6.144126928120385855e-06 9.169673020892332715e-09
-1.957623254611462471e-07 -3.809548843491938896e-06 1.132326121755511394e-09
-3.748614290088880807e-07 -3.836462383333127946e-06 1.501893609479054703e-09
1.661337023506348487e-07 -3.567701241991017014e-06 -6.969625987451877336e-10
-5.684142934114788659e-07 -3.496143335723900236e-06 6.979146704999550366e-10
8.799453610208729515e-08 -6.524507625726982951e-06 1.130916960079275668e-08
-1.532048088392912177e-08 -3.586921593523584306e-06 -2.271054316826948138e-10
5.685097335117461625e-07 -1.252915460270287440e-08 -1.017905315592315674e-08
-1.131757358052709606e-06 -9.517449051088533452e-10 -4.290600319478699021e-09
1.065441779246611986e-06 -1.461902487953636864e-09 -6.693207321717409286e-09
-5.768544610873505007e-07 -8.910939541806328634e-09 7.909636834391164939e-10
6.221934256700478727e-08 -1.436599617044009847e-09 -1.216289025052219586e-08
-1.627133201509423088e-07 -1.927724646577644307e-08 -9.196604366934479913e-09
4.362669869806268252e-07 -3.532817800078191794e-06 -1.344434896743962327e-09
2.865630506221350515e-07 -2.100400479321251623e-06 -5.753177045875190743e-09
-4.890887339570326731e-07 -3.716786878271705064e-09 2.642499996596825440e-09
2.469695630225032801e-07 -6.825915388475323198e-09 3.662419700845020998e-09
1.065204315864320961e-07 -2.120646991343733134e-09 7.941540758338305750e-10
1.613263833633027389e-07 -4.476044423995517718e-08 2.175161828432692346e-09
-7.717027017406508094e-08 6.682098874222219820e-09 3.461722242192877275e-09
8.953391272825683700e-08 -3.853885655047406544e-09 3.758995781311114115e-09
2.039825375277359853e-08 4.761392702334887872e-08 3.780027402200403230e-09
5.573400940761530364e-08 -8.006628249290770327e-09 3.568310757984249904e-09
-2.000821552883280674e-08 -8.790716599094139383e-09 3.098672429757698410e-09
-1.294755804792657727e-07 -8.675515061895566760e-08 3.324498454304603001e-09
-3.086750837155705085e-07 -1.008886130193786812e-08 2.096474771562384376e-09
