1.810831820387841873e+01 1.953619486070178013e+01 2.042028157777685138e+01 1.883543772891206913e+01 1.901671107909400860e+01 1.781268225172329167e+01 2.265544660897973728e+01
1.676620375351224723e+01 1.885400754328148665e+01 1.664847893989747973e+01 2.011205092657468541e+01 1.829587951610368179e+01 1.770178203919730464e+01 1.881370541680253083e+01
1.896986016789189122e+01 1.862665235199046521e+01 1.871928125883717087e+01 2.489966152542529088e+01 1.704024168463603317e+01 2.053105250590131448e+01 1.748730103587665852e+01
1.908649251252603563e+01 1.814334669614365581e+01 1.986722245629752592e+01 1.863585839978724934e+01 1.711895854436945541e+01 1.657609623481036465e+01 1.749258305429219362e+01
1.673900787606356744e+01 1.673417234882261440e+01 2.055438984825303805e+01 1.648779581705403174e+01 1.871278370816487069e+01 1.958606235646061933e+01 1.718096570448412308e+01
1.812249918583010810e+01 1.918797536328354525e+01 1.876386290717535488e+01 1.671275346356636859e+01 1.737186719627548470e+01 2.074574940769288034e+01 1.800099122732392232e+01
2.002771499825405854e+01 1.912143748056942272e+01 1.869127756955744246e+01 1.668231628845879300e+01 2.314028454282448521e+01 1.680673200966931091e+01 1.912082085683201527e+01
1.920897311902328042e+01 1.710404342599137451e+01 1.907991240715092118e+01 2.020278133996832892e+01 2.042158483071175468e+01 1.804812049179124500e+01 1.996872961964358950e+01
1.785943936393179143e+01 1.876238774067392612e+01 1.680191007396965475e+01 2.013064739173561080e+01 1.719291910895154984e+01 1.667696134456273782e+01 2.058395657630283182e+01
1.760583087105522537e+01 1.716436828300546935e+01 1.740979072645076897e+01 1.629770525743415632e+01 2.013920400917025688e+01 1.658821971713188148e+01 1.499426068784346100e+01
