lmbx lmby sgmx sgmy
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.005899999737739581e+00 1.000000000000000000e+00 5.567441255843732579e-05 3.429454999975860220e-04
1.011799999475479162e+00 1.000000000000000000e+00 1.229571572970598805e-04 7.288354035466909067e-04
1.017699999809265066e+00 1.000000000000000000e+00 2.019540396286174564e-04 1.159066289011389085e-03
1.023599998950958323e+00 1.000000000000000000e+00 2.927686140406876537e-04 1.635109005589038171e-03
1.029500000476837096e+00 1.000000000000000000e+00 3.955074202036484811e-04 2.158522266894578878e-03
1.035399999618530353e+00 1.000000000000000000e+00 5.102846819907426966e-04 2.730966106615960454e-03
1.041300001144409126e+00 1.000000000000000000e+00 6.372265264391899437e-04 3.354215250164270610e-03
1.047199997901916424e+00 1.000000000000000000e+00 7.764748403336853202e-04 4.030172405019402833e-03
1.053099999427795419e+00 1.000000000000000000e+00 9.281907307915390065e-04 4.760881730169057822e-03
1.059000000953674414e+00 1.000000000000000000e+00 1.092557749524712555e-03 5.548542348667979095e-03
1.064899997711181712e+00 1.000000000000000000e+00 1.269784838892519399e-03 6.395522135868668585e-03
1.070799999237060485e+00 1.000000000000000000e+00 1.460109093505889246e-03 7.304371633380651353e-03
1.076700000762939480e+00 1.000000000000000000e+00 1.663798341341316727e-03 8.277838480472565416e-03
1.082600002288818253e+00 1.000000000000000000e+00 1.881153601408004769e-03 9.318882016837596108e-03
1.088500003814697248e+00 1.000000000000000000e+00 2.112511422112584112e-03 1.043068854436278274e-02
1.094399995803833070e+00 1.000000000000000000e+00 2.358246172778308194e-03 1.161668695956468572e-02
1.100299997329711843e+00 1.000000000000000000e+00 2.618772241473197888e-03 1.288056499511003490e-02
1.106199998855590838e+00 1.000000000000000000e+00 2.894546243734657902e-03 1.422628614902496369e-02
1.112100000381469833e+00 1.000000000000000000e+00 3.186069240048527637e-03 1.565810743719339357e-02
1.118000001907348606e+00 1.000000000000000000e+00 3.493888907879591065e-03 1.718059780448675036e-02
