lmbx lmby sgmx sgmy
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.005899999737739581e+00 1.000000000000000000e+00 5.495106950693298128e-05 3.499557616654783480e-04
1.011799999475479162e+00 1.000000000000000000e+00 1.213413445919286432e-04 7.429930463433265892e-04
1.017699999809265066e+00 1.000000000000000000e+00 1.992644135723821734e-04 1.180506773479282796e-03
1.023599998950958323e+00 1.000000000000000000e+00 2.888131669256836309e-04 1.663968998659402180e-03
1.029500000476837096e+00 1.000000000000000000e+00 3.900847492972389077e-04 2.194942267797887238e-03
1.035399999618530353e+00 1.000000000000000000e+00 5.031850019935518769e-04 2.775092810578644407e-03
1.041300001144409126e+00 1.000000000000000000e+00 6.282324599567800727e-04 3.406203674525022651e-03
1.047199997901916424e+00 1.000000000000000000e+00 7.653619806282222805e-04 4.090187888965010447e-03
1.053099999427795419e+00 1.000000000000000000e+00 9.147280466742813707e-04 4.829101726785301786e-03
1.059000000953674414e+00 1.000000000000000000e+00 1.076507797185331620e-03 5.625158035755157410e-03
1.064899997711181712e+00 1.000000000000000000e+00 1.250903826206922580e-03 6.480739913508296035e-03
1.070799999237060485e+00 1.000000000000000000e+00 1.438146808836609190e-03 7.398414564132690073e-03
1.076700000762939480e+00 1.000000000000000000e+00 1.638497935701161562e-03 8.380947501212357778e-03
1.082600002288818253e+00 1.000000000000000000e+00 1.852251270134002044e-03 9.431317237019539237e-03
1.088500003814697248e+00 1.000000000000000000e+00 2.079735958576202446e-03 1.055273024812340699e-02
1.094399995803833070e+00 1.000000000000000000e+00 2.321318439766764836e-03 1.174863668233156258e-02
1.100299997329711843e+00 1.000000000000000000e+00 2.577404512837529107e-03 1.302274650186300252e-02
1.106199998855590838e+00 1.000000000000000000e+00 2.848441489040851385e-03 1.437904646024107912e-02
1.112100000381469833e+00 1.000000000000000000e+00 3.134920278191566378e-03 1.582181755155324943e-02
1.118000001907348606e+00 1.000000000000000000e+00 3.437377528473734966e-03 1.735565375834703314e-02
