lmbx lmby sgmx sgmy
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.012499999999999956e+00 1.000000000000000000e+00 1.103423924185335624e-04 1.642232275218702842e-04
1.024999999999999911e+00 1.000000000000000000e+00 2.338111645891331226e-04 3.464704299578443198e-04
1.037500000000000089e+00 1.000000000000000000e+00 3.711131684249266839e-04 5.468942508101463321e-04
1.050000000000000044e+00 1.000000000000000000e+00 5.229641438927501483e-04 7.656433557625860449e-04
1.062500000000000000e+00 1.000000000000000000e+00 6.900941215455531734e-04 1.002866735402494587e-03
1.074999999999999956e+00 1.000000000000000000e+00 8.732521002180874438e-04 1.258717516623437298e-03
1.087499999999999911e+00 1.000000000000000000e+00 1.073210167046636295e-03 1.533356374315917496e-03
1.100000000000000089e+00 1.000000000000000000e+00 1.290767187252640650e-03 1.826954559702426107e-03
1.112500000000000044e+00 1.000000000000000000e+00 1.526752169709652725e-03 2.139696640335023246e-03
1.125000000000000000e+00 1.000000000000000000e+00 1.782027516048401540e-03 2.471782957576215429e-03
1.137499999999999956e+00 1.000000000000000000e+00 2.057492165453732053e-03 2.823431888967752653e-03
1.149999999999999911e+00 1.000000000000000000e+00 2.354084818437695431e-03 3.194881871156394527e-03
1.162500000000000089e+00 1.000000000000000000e+00 2.672787281870842024e-03 3.586393321678042496e-03
1.175000000000000044e+00 1.000000000000000000e+00 3.014627994783222568e-03 3.998250345885753267e-03
1.187500000000000000e+00 1.000000000000000000e+00 3.380685818195343102e-03 4.430762430652976369e-03
1.199999999999999956e+00 1.000000000000000000e+00 3.772094012051820620e-03 4.884265926852822404e-03
1.212499999999999911e+00 1.000000000000000000e+00 4.190044613182545077e-03 5.359125538170337461e-03
1.225000000000000089e+00 1.000000000000000000e+00 4.635792971774935385e-03 5.855735741555690918e-03
1.237500000000000044e+00 1.000000000000000000e+00 5.110662683844566234e-03 6.374522116780281279e-03
1.250000000000000000e+00 1.000000000000000000e+00 5.616050804033875105e-03 6.915942661091685310e-03
