lmbx lmby sgmx sgmy
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.012499999999999956e+00 1.000000000000000000e+00 1.105244659760501187e-04 1.642121263546869191e-04
1.024999999999999911e+00 1.000000000000000000e+00 2.342016869457438488e-04 3.464782892493530921e-04
1.037500000000000089e+00 1.000000000000000000e+00 3.717408494325354475e-04 5.469520217739045828e-04
1.050000000000000044e+00 1.000000000000000000e+00 5.238599281292408887e-04 7.657827623654157043e-04
1.062500000000000000e+00 1.000000000000000000e+00 6.912911007646470795e-04 1.003120180126279700e-03
1.074999999999999956e+00 1.000000000000000000e+00 8.747854641173035024e-04 1.259118016809225062e-03
1.087499999999999911e+00 1.000000000000000000e+00 1.075117165781557535e-03 1.533937503397464746e-03
1.100000000000000089e+00 1.000000000000000000e+00 1.293087105639278847e-03 1.827750412281602685e-03
1.112500000000000044e+00 1.000000000000000000e+00 1.529526341147720769e-03 2.140741807408630664e-03
1.125000000000000000e+00 1.000000000000000000e+00 1.785299323126673596e-03 2.473112539760768600e-03
1.137499999999999956e+00 1.000000000000000000e+00 2.061307067424059027e-03 2.825081471167504871e-03
1.149999999999999911e+00 1.000000000000000000e+00 2.358490405045449850e-03 3.196887557022273611e-03
1.162500000000000089e+00 1.000000000000000000e+00 2.677833305858075535e-03 3.588791753351688353e-03
1.175000000000000044e+00 1.000000000000000000e+00 3.020366458222270047e-03 4.001078744605183861e-03
1.187500000000000000e+00 1.000000000000000000e+00 3.387171026133000730e-03 4.434058637171983848e-03
1.199999999999999956e+00 1.000000000000000000e+00 3.779382695816457371e-03 4.888068437576293529e-03
1.212499999999999911e+00 1.000000000000000000e+00 4.198195990547538142e-03 5.363473595306277042e-03
1.225000000000000089e+00 1.000000000000000000e+00 4.644868899881839965e-03 5.860669368878006907e-03
1.237500000000000044e+00 1.000000000000000000e+00 5.120727773383259608e-03 6.380082192271947956e-03
1.250000000000000000e+00 1.000000000000000000e+00 5.627172521129250593e-03 6.922171029448509136e-03
