lmbx lmby sgmx sgmy
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.012499999999999956e+00 1.000000000000000000e+00 1.152295176289044382e-04 3.546626319875940936e-04
1.024999999999999911e+00 1.000000000000000000e+00 2.530659429263323553e-04 7.618889441713690798e-04
1.037500000000000089e+00 1.000000000000000000e+00 4.143237508134916440e-04 1.223195335362106629e-03
1.050000000000000044e+00 1.000000000000000000e+00 5.998161438852548169e-04 1.740177337732166105e-03
1.062500000000000000e+00 1.000000000000000000e+00 8.103741019498556658e-04 2.314538651145994861e-03
1.074999999999999956e+00 1.000000000000000000e+00 1.046862823609262787e-03 2.948118120804428966e-03
1.087499999999999911e+00 1.000000000000000000e+00 1.310196024272590899e-03 3.642915122583508490e-03
1.100000000000000089e+00 1.000000000000000000e+00 1.601348556112498116e-03 4.401113688945770125e-03
1.112500000000000044e+00 1.000000000000000000e+00 1.921367705706506900e-03 5.225105737894773783e-03
1.125000000000000000e+00 1.000000000000000000e+00 2.271383517980575615e-03 6.117513701319694797e-03
1.137499999999999956e+00 1.000000000000000000e+00 2.652618424780666621e-03 7.081212858483195045e-03
1.149999999999999911e+00 1.000000000000000000e+00 3.066396502777934182e-03 8.119353365153073737e-03
1.162500000000000089e+00 1.000000000000000000e+00 3.514152414724230639e-03 9.235382604598999651e-03
1.175000000000000044e+00 1.000000000000000000e+00 3.997440407797694592e-03 1.043306760266423175e-02
1.187500000000000000e+00 1.000000000000000000e+00 4.517943401262164080e-03 1.171651816144585537e-02
1.199999999999999956e+00 1.000000000000000000e+00 5.077482239902019606e-03 1.309021051749587050e-02
1.212499999999999911e+00 1.000000000000000000e+00 5.678025451675057338e-03 1.455901181697845381e-02
1.225000000000000089e+00 1.000000000000000000e+00 6.321699365973472949e-03 1.612820598334074179e-02
1.237500000000000044e+00 1.000000000000000000e+00 7.010799020901322190e-03 1.780352079421281680e-02
1.250000000000000000e+00 1.000000000000000000e+00 7.747799964249134190e-03 1.959115673005580940e-02
