lmbx lmby sgmx sgmy
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.005899999737739581e+00 1.000000000000000000e+00 5.503291542700025976e-05 3.502253150101751326e-04
1.011799999475479162e+00 1.000000000000000000e+00 1.215136074344627556e-04 7.435623574070632756e-04
1.017699999809265066e+00 1.000000000000000000e+00 1.995357030304148688e-04 1.181406977400183654e-03
1.023599998950958323e+00 1.000000000000000000e+00 2.891921359580010070e-04 1.665232223179191270e-03
1.029500000476837096e+00 1.000000000000000000e+00 3.905801000772044082e-04 2.196601693890988787e-03
1.035399999618530353e+00 1.000000000000000000e+00 5.038054922595619619e-04 2.777182729542255601e-03
1.041300001144409126e+00 1.000000000000000000e+00 6.289869185071438225e-04 3.408759593777358366e-03
1.047199997901916424e+00 1.000000000000000000e+00 7.662593106273561227e-04 4.093246589973569168e-03
1.053099999427795419e+00 1.000000000000000000e+00 9.157772485166788042e-04 4.832701351121067995e-03
1.059000000953674414e+00 1.000000000000000000e+00 1.077717972174286774e-03 5.629338204115629136e-03
1.064899997711181712e+00 1.000000000000000000e+00 1.252284203935414555e-03 6.485541843995451701e-03
1.070799999237060485e+00 1.000000000000000000e+00 1.439706751052290254e-03 7.403881143778562150e-03
1.076700000762939480e+00 1.000000000000000000e+00 1.640246962755918542e-03 8.387123422324657684e-03
1.082600002288818253e+00 1.000000000000000000e+00 1.854199074581265377e-03 9.438249136507511142e-03
1.088500003814697248e+00 1.000000000000000000e+00 2.081892431154847185e-03 1.056046683564782103e-02
1.094399995803833070e+00 1.000000000000000000e+00 2.323693673871457706e-03 1.175722886770963656e-02
1.100299997329711843e+00 1.000000000000000000e+00 2.580008846335113057e-03 1.303224760517478036e-02
1.106199998855590838e+00 1.000000000000000000e+00 2.851285497657954620e-03 1.438951226770877889e-02
1.112100000381469833e+00 1.000000000000000000e+00 3.138014836609363551e-03 1.583330661952495402e-02
1.118000001907348606e+00 1.000000000000000000e+00 3.440733796358108436e-03 1.736822745352983519e-02
