lmbx lmby sgmx sgmy
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.012499999999999956e+00 1.000000000000000000e+00 1.084662025154102587e-04 1.685546819819137441e-04
1.024999999999999911e+00 1.000000000000000000e+00 2.298420776729471885e-04 3.550664905458688638e-04
1.037500000000000089e+00 1.000000000000000000e+00 3.648125153966247955e-04 5.596771189477294482e-04
1.050000000000000044e+00 1.000000000000000000e+00 5.140736133791506219e-04 7.825260955840349043e-04
1.062500000000000000e+00 1.000000000000000000e+00 6.783377772197127361e-04 1.023754802346229587e-03
1.074999999999999956e+00 1.000000000000000000e+00 8.583381400909275132e-04 1.283510030154138811e-03
1.087499999999999911e+00 1.000000000000000000e+00 1.054832444991916484e-03 1.561947155091911480e-03
1.100000000000000089e+00 1.000000000000000000e+00 1.268606497626751685e-03 1.859232986997813065e-03
1.112500000000000044e+00 1.000000000000000000e+00 1.500477374345064122e-03 2.175548295676708183e-03
1.125000000000000000e+00 1.000000000000000000e+00 1.751296453829854832e-03 2.511090134829282831e-03
1.137499999999999956e+00 1.000000000000000000e+00 2.021952426619827610e-03 2.866073944047093335e-03
1.149999999999999911e+00 1.000000000000000000e+00 2.313374389708042298e-03 3.240735426358878554e-03
1.162500000000000089e+00 1.000000000000000000e+00 2.626535037346184459e-03 3.635332367196679113e-03
1.175000000000000044e+00 1.000000000000000000e+00 2.962454103864729533e-03 4.050146245211362628e-03
1.187500000000000000e+00 1.000000000000000000e+00 3.322202037274837524e-03 4.485483761131763697e-03
1.199999999999999956e+00 1.000000000000000000e+00 3.706903951801359624e-03 4.941678308323025660e-03
1.212499999999999911e+00 1.000000000000000000e+00 4.117743859812617035e-03 5.419091346487403017e-03
1.225000000000000089e+00 1.000000000000000000e+00 4.555969229340553484e-03 5.918113703280687178e-03
1.237500000000000044e+00 1.000000000000000000e+00 5.022895840927958655e-03 6.439166893810033439e-03
1.250000000000000000e+00 1.000000000000000000e+00 5.519912975281477188e-03 6.982704313844442789e-03
