lmbx lmby sgmx sgmy
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.012499999999999956e+00 1.000000000000000000e+00 1.151767913077492216e-04 3.549109196057543408e-04
1.024999999999999911e+00 1.000000000000000000e+00 2.529404040658846478e-04 7.623699021525680818e-04
1.037500000000000089e+00 1.000000000000000000e+00 4.141032231040299091e-04 1.223892045486718420e-03
1.050000000000000044e+00 1.000000000000000000e+00 5.994765783194452207e-04 1.741071845125407008e-03
1.062500000000000000e+00 1.000000000000000000e+00 8.098897435702383111e-04 2.315612157993018720e-03
1.074999999999999956e+00 1.000000000000000000e+00 1.046206322684884067e-03 2.949351141974330091e-03
1.087499999999999911e+00 1.000000000000000000e+00 1.309338509757071792e-03 3.644287563487887387e-03
1.100000000000000089e+00 1.000000000000000000e+00 1.600259674433618688e-03 4.402604875713586781e-03
1.112500000000000044e+00 1.000000000000000000e+00 1.920015608705580258e-03 5.226694497838616296e-03
1.125000000000000000e+00 1.000000000000000000e+00 2.269734831340611183e-03 6.119178251177072488e-03
1.137499999999999956e+00 1.000000000000000000e+00 2.650638194754719595e-03 7.082930770888924178e-03
1.149999999999999911e+00 1.000000000000000000e+00 3.064048101939261057e-03 8.121101498603820051e-03
1.162500000000000089e+00 1.000000000000000000e+00 3.511397439986467268e-03 9.237136957049370267e-03
1.175000000000000044e+00 1.000000000000000000e+00 3.994238546490669339e-03 1.043480318486690595e-02
1.187500000000000000e+00 1.000000000000000000e+00 4.514252264797687098e-03 1.171820882707834237e-02
1.199999999999999956e+00 1.000000000000000000e+00 5.073257225751876681e-03 1.309182865545153659e-02
1.212499999999999911e+00 1.000000000000000000e+00 5.673219505324960006e-03 1.456052831709384911e-02
1.225000000000000089e+00 1.000000000000000000e+00 6.316262823715806073e-03 1.612958985120058197e-02
1.237500000000000044e+00 1.000000000000000000e+00 7.004679332673549932e-03 1.780473893880844122e-02
1.250000000000000000e+00 1.000000000000000000e+00 7.740941447764634713e-03 1.959217352569103329e-02
