lmbx lmby sgmx sgmy
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.012499999999999956e+00 1.000000000000000000e+00 1.134185964998323475e-04 3.632806676439940771e-04
1.024999999999999911e+00 1.000000000000000000e+00 2.490497858030721280e-04 7.791465110145509706e-04
1.037500000000000089e+00 1.000000000000000000e+00 4.076670122100040160e-04 1.249095571227371590e-03
1.050000000000000044e+00 1.000000000000000000e+00 5.900482071097939681e-04 1.774711671937257134e-03
1.062500000000000000e+00 1.000000000000000000e+00 7.969936356414109978e-04 2.357692189328372632e-03
1.074999999999999956e+00 1.000000000000000000e+00 1.029341268353164149e-03 2.999873934872448241e-03
1.087499999999999911e+00 1.000000000000000000e+00 1.287980165425688106e-03 3.703257536701858033e-03
1.100000000000000089e+00 1.000000000000000000e+00 1.573862260766327459e-03 4.470030754059553350e-03
1.112500000000000044e+00 1.000000000000000000e+00 1.888012934755533938e-03 5.302590875327586710e-03
1.125000000000000000e+00 1.000000000000000000e+00 2.231540693715214786e-03 6.203566785529255993e-03
1.137499999999999956e+00 1.000000000000000000e+00 2.605646234937012209e-03 7.175840477645397363e-03
1.149999999999999911e+00 1.000000000000000000e+00 3.011631136760115676e-03 8.222568771988153502e-03
1.162500000000000089e+00 1.000000000000000000e+00 3.450906378962099660e-03 9.347204931080340881e-03
1.175000000000000044e+00 1.000000000000000000e+00 3.925000907853245374e-03 1.055352088361978524e-02
1.187500000000000000e+00 1.000000000000000000e+00 4.435570264235138768e-03 1.184562959298491452e-02
1.199999999999999956e+00 1.000000000000000000e+00 4.984405579045414827e-03 1.322800852656364455e-02
1.212499999999999911e+00 1.000000000000000000e+00 5.573442910611629136e-03 1.470552369952201829e-02
1.225000000000000089e+00 1.000000000000000000e+00 6.204773113131523479e-03 1.628345522731542566e-02
1.237500000000000044e+00 1.000000000000000000e+00 6.880652369186282362e-03 1.796752375066280535e-02
1.250000000000000000e+00 1.000000000000000000e+00 7.603513811156153643e-03 1.976391935199499003e-02
