lmbx lmby sgmx sgmy
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.012499999999999956e+00 1.000000000000000000e+00 1.085925604566000406e-04 1.684710797155275887e-04
1.024999999999999911e+00 1.000000000000000000e+00 2.300951095880009309e-04 3.548804656835272933e-04
1.037500000000000089e+00 1.000000000000000000e+00 3.651923325611278561e-04 5.593695258256048365e-04
1.050000000000000044e+00 1.000000000000000000e+00 5.145802163053303600e-04 7.820774961728602310e-04
1.062500000000000000e+00 1.000000000000000000e+00 6.789711403194815132e-04 1.023145494610071260e-03
1.074999999999999956e+00 1.000000000000000000e+00 8.590982875321060688e-04 1.282720061484724210e-03
1.087499999999999911e+00 1.000000000000000000e+00 1.055719512794166823e-03 1.560956334695219952e-03
1.100000000000000089e+00 1.000000000000000000e+00 1.269620804861187847e-03 1.858020890317857356e-03
1.112500000000000044e+00 1.000000000000000000e+00 1.501619468349963456e-03 2.174094263836741630e-03
1.125000000000000000e+00 1.000000000000000000e+00 1.752567164693027675e-03 2.509373266808688496e-03
1.137499999999999956e+00 1.000000000000000000e+00 2.023352921009063683e-03 2.864073078893125072e-03
1.149999999999999911e+00 1.000000000000000000e+00 2.314906203001737637e-03 3.238429143838584406e-03
1.162500000000000089e+00 1.000000000000000000e+00 2.628200111538171735e-03 3.632698953337967340e-03
1.175000000000000044e+00 1.000000000000000000e+00 2.964254844933748335e-03 4.047163677588104871e-03
1.187500000000000000e+00 1.000000000000000000e+00 3.324141339026391671e-03 4.482129691541194595e-03
1.199999999999999956e+00 1.000000000000000000e+00 3.708985214680433299e-03 4.937930012494325983e-03
1.212499999999999911e+00 1.000000000000000000e+00 4.119971064105629709e-03 5.414925704896450358e-03
1.225000000000000089e+00 1.000000000000000000e+00 4.558346943557262283e-03 5.913507170975208088e-03
1.237500000000000044e+00 1.000000000000000000e+00 5.025429259240626889e-03 6.434095443785190806e-03
1.250000000000000000e+00 1.000000000000000000e+00 5.522607975453138092e-03 6.977143456786871235e-03
