lmbx lmby sgmx sgmy
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.012499999999999956e+00 1.000000000000000000e+00 1.148261848196853007e-04 3.549473972059786543e-04
1.024999999999999911e+00 1.000000000000000000e+00 2.522217729594558372e-04 7.624550386331975429e-04
1.037500000000000089e+00 1.000000000000000000e+00 4.129981012549251585e-04 1.224038511328399102e-03
1.050000000000000044e+00 1.000000000000000000e+00 5.979652992449700560e-04 1.741292767133563674e-03
1.062500000000000000e+00 1.000000000000000000e+00 8.079512941185384468e-04 2.315921130031347100e-03
1.074999999999999956e+00 1.000000000000000000e+00 1.043818210996687312e-03 2.949762227572500645e-03
1.087499999999999911e+00 1.000000000000000000e+00 1.306476634647697234e-03 3.644815324433147916e-03
1.100000000000000089e+00 1.000000000000000000e+00 1.596898202784359424e-03 4.403264411911368345e-03
1.112500000000000044e+00 1.000000000000000000e+00 1.916126856766641124e-03 5.227501466125250226e-03
1.125000000000000000e+00 1.000000000000000000e+00 2.265289156883954803e-03 6.120148964971303986e-03
1.137499999999999956e+00 1.000000000000000000e+00 2.645603894069790702e-03 7.084082218259572968e-03
1.149999999999999911e+00 1.000000000000000000e+00 3.058391277864575247e-03 8.122451445460318956e-03
1.162500000000000089e+00 1.000000000000000000e+00 3.505081919021904319e-03 9.238704040646552457e-03
1.175000000000000044e+00 1.000000000000000000e+00 3.987225763499737015e-03 1.043660699725150985e-02
1.187500000000000000e+00 1.000000000000000000e+00 4.506501144543290094e-03 1.172026999369263703e-02
1.199999999999999956e+00 1.000000000000000000e+00 5.064724058285355324e-03 1.309416897669434497e-02
1.212499999999999911e+00 1.000000000000000000e+00 5.663857836648821843e-03 1.456317085996270203e-02
1.225000000000000089e+00 1.000000000000000000e+00 6.306023321300744701e-03 1.613255915790796219e-02
1.237500000000000044e+00 1.000000000000000000e+00 6.993509654328227201e-03 1.780806098431348891e-02
1.250000000000000000e+00 1.000000000000000000e+00 7.728786075860262159e-03 1.959587611407041449e-02
