lmbx lmby sgmx sgmy
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.012499999999999956e+00 1.000000000000000000e+00 1.127722846576943992e-04 3.638232796452939440e-04
1.024999999999999911e+00 1.000000000000000000e+00 2.477218935033306314e-04 7.802788647357374692e-04
1.037500000000000089e+00 1.000000000000000000e+00 4.056193186203017670e-04 1.250865707732737092e-03
1.050000000000000044e+00 1.000000000000000000e+00 5.872394745238125298e-04 1.777168781030923073e-03
1.062500000000000000e+00 1.000000000000000000e+00 7.933795228134841093e-04 2.360886856541037724e-03
1.074999999999999956e+00 1.000000000000000000e+00 1.024874230287969087e-03 3.003858377598226000e-03
1.087499999999999911e+00 1.000000000000000000e+00 1.282609333842992839e-03 3.708085834980011201e-03
1.100000000000000089e+00 1.000000000000000000e+00 1.567533314507454662e-03 4.475759081542491670e-03
1.112500000000000044e+00 1.000000000000000000e+00 1.880667972005903646e-03 5.309277748316526199e-03
1.125000000000000000e+00 1.000000000000000000e+00 2.223118063248694098e-03 6.211273286864161559e-03
1.137499999999999956e+00 1.000000000000000000e+00 2.596080372855067309e-03 7.184630520269274720e-03
1.149999999999999911e+00 1.000000000000000000e+00 3.000852402113378219e-03 8.232509341090918364e-03
1.162500000000000089e+00 1.000000000000000000e+00 3.438840864785015598e-03 9.358366376161575753e-03
1.175000000000000044e+00 1.000000000000000000e+00 3.911570229753851859e-03 1.056597708240151340e-02
1.187500000000000000e+00 1.000000000000000000e+00 4.420691351965069966e-03 1.185945840477943374e-02
1.199999999999999956e+00 1.000000000000000000e+00 4.967990459874272596e-03 1.324329192861914591e-02
1.212499999999999911e+00 1.000000000000000000e+00 5.555398424714803711e-03 1.472234819680452375e-02
1.225000000000000089e+00 1.000000000000000000e+00 6.185000652447343074e-03 1.630191207975149187e-02
1.237500000000000044e+00 1.000000000000000000e+00 6.859047639369965019e-03 1.798770949691533977e-02
1.250000000000000000e+00 1.000000000000000000e+00 7.579966451972722750e-03 1.978593577891588073e-02
