x y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30
1.064899997711181712e+00 1.250703913811594292e+00 1.250877105817198798e+00 1.251813981402665421e+00 1.251140180975198746e+00 1.250826851278543650e+00 1.251281487103551582e+00 1.251484613679349600e+00 1.252191408816724971e+00 1.251527564693242445e+00 1.250801534578204199e+00 1.250903826206922531e+00 1.252724011894315481e+00 1.250163416005670936e+00 1.251588801760226355e+00 1.249631155934184834e+00 1.251344080641865641e+00 1.252635546680539891e+00 1.251271752268075854e+00 1.251557177491485984e+00 1.251121897995472132e+00 1.252388450782746077e+00 1.252284203935414508e+00 1.248275913484394595e+00 1.249987399484962181e+00 1.251484747603535785e+00 1.248884551133960574e+00 1.252598265465348915e+00 1.251390639692544937e+00 1.252366545051336377e+00 1.249412127677351103e+00
1.070799999237060485e+00 1.437953410856425807e+00 1.438153391890227617e+00 1.439208291843533383e+00 1.438453733269125179e+00 1.438103614188730672e+00 1.438616028986871243e+00 1.438826300203800201e+00 1.439692010171711445e+00 1.438897258974611626e+00 1.438067437801509918e+00 1.438146808836609170e+00 1.440205820277333126e+00 1.437303023971617133e+00 1.438929163012653500e+00 1.436715141776949256e+00 1.438712660316378011e+00 1.440156388934701770e+00 1.438626818172633826e+00 1.438974642660468817e+00 1.438430689834058196e+00 1.439917173143476337e+00 1.439706751052290290e+00 1.435231018159538463e+00 1.437123331334441811e+00 1.438832989614456936e+00 1.435874990560114473e+00 1.440125831868499517e+00 1.438782342150807469e+00 1.439846006222069263e+00 1.436427545361220970e+00
1.076700000762939480e+00 1.638315286487340927e+00 1.638544252049177752e+00 1.639723504520952613e+00 1.638884440902620643e+00 1.638495823740959034e+00 1.639069204218685627e+00 1.639284333866089627e+00 1.640326598938554481e+00 1.639387959055602417e+00 1.638447232544422150e+00 1.638497935701161534e+00 1.640808793157339185e+00 1.637543839029967918e+00 1.639384021423757165e+00 1.636899330653250217e+00 1.639205012284219443e+00 1.640807475801557169e+00 1.639104512892663346e+00 1.639521086588501930e+00 1.638855998031795158e+00 1.640581228025257632e+00 1.640246962755918636e+00 1.635284761432558298e+00 1.637363645900040909e+00 1.639298987202346236e+00 1.635960831306874752e+00 1.640785464830696538e+00 1.639301647897809744e+00 1.640452908352017403e+00 1.636533369123935655e+00
1.082600002288818253e+00 1.852083665691316217e+00 1.852343888673931405e+00 1.853654022514819921e+00 1.852726587280631110e+00 1.852297683805227191e+00 1.852935326565057217e+00 1.853152944799512536e+00 1.854389880970120252e+00 1.853294054325669959e+00 1.852235096972435713e+00 1.852251270134002148e+00 1.854827257618308023e+00 1.851179697643965394e+00 1.853247580118477345e+00 1.850477556977421001e+00 1.853115564491599754e+00 1.854883411247283176e+00 1.852999257575720371e+00 1.853491044510155783e+00 1.852692085504531905e+00 1.854675290826708123e+00 1.854199074581265316e+00 1.848730890918522940e+00 1.851002371311187833e+00 1.853177026286721096e+00 1.849435786809772164e+00 1.854871797934174671e+00 1.853243136778473854e+00 1.854481831938028291e+00 1.850023094099014997e+00
1.088500003814697248e+00 2.079587789252400398e+00 2.079881619662046432e+00 2.081329367123544216e+00 2.080309570580721079e+00 2.079838521219790071e+00 2.080543830804526984e+00 2.080761477537452997e+00 2.082211717590689570e+00 2.080945051647722810e+00 2.079760326817631899e+00 2.079735958576202304e+00 2.082590657286345959e+00 2.078539516404271037e+00 2.080849162116646500e+00 2.077778742276132018e+00 2.080773881264031289e+00 2.082713947817683042e+00 2.080640600062906742e+00 2.081214201264083741e+00 2.080268339999019833e+00 2.082529194280505536e+00 2.081892431154847234e+00 2.075898233242333024e+00 2.078368617780506522e+00 2.080796508491039365e+00 2.076628654263913631e+00 2.082714615017175586e+00 2.080936542339623330e+00 2.082262498140335261e+00 2.077225271426141440e+00
1.094399995803833070e+00 2.321194174140691846e+00 2.321524041518569170e+00 2.323116353526711642e+00 2.322000088542699903e+00 2.321484955027699471e+00 2.322261460311711101e+00 2.322476564347743633e+00 2.324159310013055535e+00 2.322707766667008400e+00 2.321389511041342946e+00 2.321318439766764996e+00 2.324465745873749434e+00 2.319989472068846315e+00 2.322555360384285450e+00 2.319169064797461211e+00 2.322546846419572653e+00 2.324666161090135574e+00 2.322395404800772667e+00 2.323057582415640532e+00 2.321951450780034065e+00 2.324510135315358550e+00 2.323693673871457754e+00 2.317152889072894961e+00 2.319828760065138162e+00 2.322524138726294041e+00 2.317905456759035587e+00 2.324681023135781288e+00 2.322748906724154683e+00 2.324161923862993806e+00 2.318505701236426741e+00
1.100299997329711843e+00 2.577308763377368805e+00 2.577677165344357757e+00 2.579421218484640121e+00 2.578204247169196606e+00 2.577642992325127391e+00 2.578494353033601971e+00 2.578704263828694998e+00 2.580639333277940928e+00 2.578988446854054928e+00 2.577528633922338663e+00 2.577404512837528916e+00 2.580858688801527023e+00 2.575935108773410587e+00 2.578772186487913398e+00 2.575054050423204899e+00 2.578840764053166090e+00 2.581146561913191917e+00 2.578669952228665352e+00 2.579427650012076079e+00 2.578147494979202925e+00 2.581024746410548687e+00 2.580008846335112960e+00 2.572900340333581060e+00 2.575788546353578568e+00 2.578766017034650027e+00 2.573671606183052241e+00 2.581177594326436786e+00 2.579086728766560643e+00 2.580586589872837067e+00 2.574269511736929417e+00
1.106199998855590838e+00 2.848378989845514297e+00 2.848788538016378880e+00 2.850691746361553758e+00 2.849369684047997175e+00 2.848760197497904212e+00 2.849690203182399184e+00 2.849892135895788492e+00 2.852100008167326450e+00 2.850234860740602283e+00 2.848625205643474878e+00 2.848441489040851593e+00 2.852217176929116249e+00 2.846823446266352864e+00 2.849947158247232437e+00 2.845880716107785702e+00 2.850103498809039682e+00 2.852603239379823297e+00 2.849912080541253001e+00 2.850772443599999040e+00 2.849304117076098652e+00 2.852521277032792568e+00 2.851285497657954693e+00 2.843587535992264659e+00 2.846695208176970748e+00 2.849969789385795593e+00 2.844373949803411961e+00 2.852652442269027144e+00 2.850398076139390557e+00 2.851984512805938898e+00 2.844963284395634950e+00
1.112100000381469833e+00 3.134895926341414452e+00 3.135349309816956254e+00 3.137419350817799657e+00 3.135987665504217148e+00 3.135327741317450734e+00 3.136340336874127388e+00 3.136531382612884222e+00 3.139033287577331244e+00 3.136938451230526059e+00 3.135170371830463765e+00 3.134920278191566378e+00 3.139032548293471336e+00 3.133145085722207845e+00 3.136571417748928337e+00 3.132139656879007639e+00 3.136826574616134344e+00 3.139527945592999192e+00 3.136613281629979433e+00 3.137583672255277900e+00 3.135912565328180968e+00 3.139491659216582686e+00 3.138014836609363645e+00 3.129705033823847682e+00 3.133039576187729658e+00 3.136626729741692543e+00 3.130502917058766155e+00 3.139597377181053250e+00 3.137174687720835298e+00 3.138847386091947467e+00 3.131077135726809679e+00
1.118000001907348606e+00 3.437396400049328893e+00 3.437896414659917355e+00 3.440141241066157818e+00 3.438595245406031342e+00 3.437882566079497160e+00 3.438981858082115650e+00 3.439158968254923732e+00 3.441976939886808307e+00 3.439636428281664937e+00 3.437701025418937295e+00 3.437377528473735122e+00 3.441841894015669645e+00 3.435436343774199486e+00 3.439181858673691750e+00 3.434367174655199140e+00 3.439547314122318955e+00 3.442458242364228038e+00 3.439310835488140761e+00 3.440398881398141651e+00 3.438509872369468034e+00 3.442473660968244253e+00 3.440733796358108609e+00 3.431789108365773888e+00 3.435358218103647054e+00 3.439273866638541399e+00 3.432594648562371731e+00 3.442550027742981911e+00 3.439954114891588866e+00 3.441712699458003399e+00 3.433146877773106009e+00
