ID,subject,age,region,sample,test,lm11,lm22,sigma11 (MPa),sigma22 (MPa)
1,0,0,0,1,0,1.0,1.0,0.0,0.0
1,0,0,0,1,0,1.183634,1.11556,0.003113,0.001935
1,0,0,0,1,0,1.184479,1.114997,0.003227,0.001936
1,0,0,0,1,0,1.184847,1.115179,0.003265,0.001937
1,0,0,0,1,0,1.184965,1.115454,0.00326,0.001897
1,0,0,0,1,0,1.185189,1.115714,0.003289,0.001901
1,0,0,0,1,0,1.185144,1.115918,0.003314,0.00194
1,0,0,0,1,0,1.185501,1.116244,0.003412,0.001973
1,0,0,0,1,0,1.185564,1.116635,0.003462,0.002002
1,0,0,0,1,0,1.185937,1.117679,0.003499,0.002184
1,0,0,0,1,0,1.186534,1.118897,0.003599,0.002306
1,0,0,0,1,0,1.187497,1.119467,0.003699,0.00237
1,0,0,0,1,0,1.188209,1.120338,0.003764,0.002372
1,0,0,0,1,0,1.188389,1.120799,0.003766,0.002405
1,0,0,0,1,0,1.188633,1.121155,0.003893,0.002468
1,0,0,0,1,0,1.188746,1.121494,0.003922,0.002471
1,0,0,0,1,0,1.189449,1.12174,0.004022,0.002533
1,0,0,0,1,0,1.189686,1.121963,0.004061,0.002627
1,0,0,0,1,0,1.18979,1.122405,0.004099,0.002659
1,0,0,0,1,0,1.190026,1.123196,0.004199,0.002783
1,0,0,0,1,0,1.189989,1.123847,0.004237,0.002846
1,0,0,0,1,0,1.190178,1.124611,0.004338,0.002849
1,0,0,0,1,0,1.190561,1.12595,0.004404,0.002852
1,0,0,0,1,0,1.190562,1.127291,0.00447,0.002854
1,0,0,0,1,0,1.190813,1.128227,0.004571,0.002827
1,0,0,0,1,0,1.190904,1.128647,0.004636,0.002831
1,0,0,0,1,0,1.191906,1.129116,0.004666,0.002804
1,0,0,0,1,0,1.192091,1.1305,0.004705,0.002868
1,0,0,0,1,0,1.192218,1.131532,0.004806,0.002841
1,0,0,0,1,0,1.192672,1.134159,0.004845,0.002813
1,0,0,0,1,0,1.193297,1.13468,0.004919,0.002878
1,0,0,0,1,0,1.192954,1.135358,0.004949,0.002912
1,0,0,0,1,0,1.193736,1.136571,0.004979,0.002885
1,0,0,0,1,0,1.194039,1.137086,0.005045,0.00298
1,0,0,0,1,0,1.194146,1.13854,0.005075,0.003015
1,0,0,0,1,0,1.194755,1.140073,0.005177,0.00308
1,0,0,0,1,0,1.194599,1.141794,0.00518,0.003176
1,0,0,0,1,0,1.195088,1.143335,0.005146,0.003241
1,0,0,0,1,0,1.195626,1.144005,0.005186,0.003337
1,0,0,0,1,0,1.195792,1.144098,0.005252,0.003403
1,0,0,0,1,0,1.196122,1.145157,0.005291,0.003438
1,0,0,0,1,0,1.196317,1.146216,0.005331,0.003576
1,0,0,0,1,0,1.196835,1.147893,0.005334,0.003611
1,0,0,0,1,0,1.197075,1.149456,0.005373,0.003708
1,0,0,0,1,0,1.197729,1.151308,0.005403,0.003836
1,0,0,0,1,0,1.198236,1.152513,0.00547,0.003903
1,0,0,0,1,0,1.198673,1.153564,0.005537,0.00397
1,0,0,0,1,0,1.198973,1.15456,0.005604,0.004005
1,0,0,0,1,0,1.199667,1.155295,0.005671,0.00404
1,0,0,0,1,0,1.199961,1.157241,0.00571,0.004076
1,0,0,0,1,0,1.200668,1.158689,0.005713,0.00408
1,0,0,0,1,0,1.200813,1.160533,0.00578,0.004116
1,0,0,0,1,0,1.201477,1.162407,0.00582,0.004183
1,0,0,0,1,0,1.202124,1.163996,0.005823,0.004219
1,0,0,0,1,0,1.202494,1.165317,0.005826,0.004255
1,0,0,0,1,0,1.20311,1.166564,0.005829,0.004291
1,0,0,0,1,0,1.203515,1.167242,0.00586,0.004255
1,0,0,0,1,0,1.203498,1.167903,0.005891,0.004259
1,0,0,0,1,0,1.204283,1.168677,0.005922,0.004295
1,0,0,0,1,0,1.205548,1.171682,0.005989,0.0043
1,0,0,0,1,0,1.206293,1.17305,0.00602,0.004347
1,0,0,0,1,0,1.206637,1.174042,0.006023,0.004352
1,0,0,0,1,0,1.20704,1.175954,0.006027,0.00442
1,0,0,0,1,0,1.207821,1.176935,0.00603,0.004393
1,0,0,0,1,0,1.209038,1.178986,0.006061,0.004441
1,0,0,0,1,0,1.20972,1.18022,0.006093,0.004478
1,0,0,0,1,0,1.210319,1.181043,0.006096,0.004451
1,0,0,0,1,0,1.210955,1.183171,0.006127,0.004423
1,0,0,0,1,0,1.211467,1.184519,0.006158,0.004471
1,0,0,0,1,0,1.212239,1.186679,0.006226,0.004476
1,0,0,0,1,0,1.213084,1.188178,0.006257,0.004417
1,0,0,0,1,0,1.214128,1.189063,0.006261,0.004389
1,0,0,0,1,0,1.215113,1.190329,0.006264,0.004394
1,0,0,0,1,0,1.215362,1.192123,0.006305,0.004399
1,0,0,0,1,0,1.215861,1.19414,0.006373,0.004479
1,0,0,0,1,0,1.216006,1.195104,0.006414,0.004442
1,0,0,0,1,0,1.217333,1.196296,0.006417,0.004447
1,0,0,0,1,0,1.217696,1.198006,0.006421,0.004495
1,0,0,0,1,0,1.218432,1.199608,0.006461,0.004608
1,0,0,0,1,0,1.219366,1.200808,0.00653,0.004614
1,0,0,0,1,0,1.220606,1.201955,0.006534,0.004586
1,0,0,0,1,0,1.221352,1.204425,0.006537,0.004591
1,0,0,0,1,0,1.222181,1.206109,0.006541,0.004672
1,0,0,0,1,0,1.223007,1.207273,0.00661,0.004743
1,0,0,0,1,0,1.224029,1.208738,0.006642,0.004857
1,0,0,0,1,0,1.224555,1.210254,0.006645,0.005036
1,0,0,0,1,0,1.225903,1.211886,0.006649,0.00515
1,0,0,0,1,0,1.22642,1.213821,0.006755,0.005297
1,0,0,0,1,0,1.22799,1.215486,0.006787,0.005379
1,0,0,0,1,0,1.229081,1.217463,0.006763,0.005418
1,0,0,0,1,0,1.230087,1.21847,0.006729,0.005533
1,0,0,0,1,0,1.230861,1.220376,0.00677,0.005681
1,0,0,0,1,0,1.23168,1.222394,0.006839,0.005753
1,0,0,0,1,0,1.231552,1.223551,0.006909,0.005792
1,0,0,0,1,0,1.232887,1.223707,0.006913,0.005898
1,0,0,0,1,0,1.233556,1.226105,0.006954,0.006079
1,0,0,0,1,0,1.234453,1.227407,0.006995,0.006228
1,0,0,0,1,0,1.235984,1.22925,0.007036,0.0063
1,0,0,0,1,0,1.236637,1.230621,0.00704,0.006307
1,0,0,0,1,0,1.237347,1.232048,0.007044,0.006314
1,0,0,0,1,0,1.237963,1.234947,0.007048,0.006388
1,0,0,0,1,0,1.239203,1.236528,0.007117,0.006528
1,0,0,0,1,0,1.239765,1.237987,0.007122,0.006636
1,0,0,0,1,0,1.240144,1.239215,0.007192,0.006743
1,0,0,0,1,0,1.240693,1.241596,0.00729,0.006816
1,0,0,0,1,0,1.242265,1.242699,0.00736,0.00689
1,0,0,0,1,0,1.242695,1.245525,0.007458,0.006965
1,0,0,0,1,0,1.243985,1.246911,0.007528,0.007073
1,0,0,0,1,0,1.244408,1.248776,0.007561,0.007181
1,0,0,0,1,0,1.245239,1.249773,0.007631,0.007256
1,0,0,0,1,0,1.246275,1.251549,0.007701,0.007331
1,0,0,0,1,0,1.246678,1.25379,0.0078,0.007439
1,0,0,0,1,0,1.248036,1.254721,0.007936,0.007581
1,0,0,0,1,0,1.248408,1.256633,0.008073,0.00769
1,0,0,0,1,0,1.249305,1.25867,0.008182,0.007798
