ID,subject,age,region,sample,test,lm11,lm22,sigma11 (MPa),sigma22 (MPa)
0,0,0,0,1,0,1.0,1.0,0.0,0.0
0,0,0,0,1,0,1.000845,0.9994369999999999,0.00011399999999999995,9.999999999999159e-07
0,0,0,0,1,0,1.001213,0.9996189999999998,0.00015200000000000023,1.9999999999998318e-06
0,0,0,0,1,0,1.001331,0.9998939999999998,0.000147,-3.8000000000000056e-05
0,0,0,0,1,0,1.001555,1.000154,0.00017599999999999994,-3.4000000000000176e-05
0,0,0,0,1,0,1.00151,1.0003579999999999,0.00020100000000000022,5.000000000000013e-06
0,0,0,0,1,0,1.0018669999999998,1.000684,0.0002990000000000002,3.799999999999984e-05
0,0,0,0,1,0,1.00193,1.001075,0.0003489999999999999,6.699999999999979e-05
0,0,0,0,1,0,1.002303,1.002119,0.00038600000000000006,0.0002490000000000001
0,0,0,0,1,0,1.0029,1.003337,0.0004860000000000003,0.0003709999999999998
0,0,0,0,1,0,1.003863,1.0039069999999999,0.0005860000000000001,0.00043500000000000006
0,0,0,0,1,0,1.004575,1.004778,0.0006510000000000001,0.0004369999999999999
0,0,0,0,1,0,1.0047549999999998,1.005239,0.0006529999999999999,0.00046999999999999993
0,0,0,0,1,0,1.004999,1.0055949999999998,0.0007800000000000003,0.000533
0,0,0,0,1,0,1.005112,1.0059339999999999,0.0008090000000000003,0.000536
0,0,0,0,1,0,1.005815,1.0061799999999999,0.0009090000000000005,0.000598
0,0,0,0,1,0,1.006052,1.006403,0.0009480000000000005,0.0006919999999999999
0,0,0,0,1,0,1.0061559999999998,1.006845,0.0009860000000000003,0.0007239999999999998
0,0,0,0,1,0,1.006392,1.007636,0.0010859999999999997,0.0008479999999999998
0,0,0,0,1,0,1.0063549999999999,1.008287,0.0011240000000000004,0.0009109999999999999
0,0,0,0,1,0,1.0065439999999999,1.009051,0.001225,0.0009139999999999999
0,0,0,0,1,0,1.006927,1.01039,0.001291,0.0009169999999999998
0,0,0,0,1,0,1.0069279999999998,1.011731,0.0013570000000000001,0.0009190000000000001
0,0,0,0,1,0,1.0071789999999998,1.012667,0.0014580000000000005,0.000892
0,0,0,0,1,0,1.0072699999999999,1.0130869999999998,0.0015230000000000005,0.0008960000000000001
0,0,0,0,1,0,1.0082719999999998,1.013556,0.0015530000000000001,0.000869
0,0,0,0,1,0,1.008457,1.01494,0.001592,0.0009329999999999998
0,0,0,0,1,0,1.008584,1.0159719999999999,0.0016930000000000005,0.0009060000000000001
0,0,0,0,1,0,1.0090379999999999,1.0185989999999998,0.0017320000000000005,0.0008779999999999999
0,0,0,0,1,0,1.009663,1.0191199999999998,0.0018059999999999999,0.0009429999999999998
0,0,0,0,1,0,1.00932,1.019798,0.0018360000000000004,0.000977
0,0,0,0,1,0,1.0101019999999998,1.021011,0.001866,0.0009499999999999999
0,0,0,0,1,0,1.010405,1.021526,0.0019320000000000001,0.001045
0,0,0,0,1,0,1.0105119999999999,1.02298,0.0019619999999999998,0.0010799999999999998
0,0,0,0,1,0,1.011121,1.0245129999999998,0.0020640000000000003,0.0011449999999999998
0,0,0,0,1,0,1.010965,1.0262339999999999,0.002067,0.001241
0,0,0,0,1,0,1.0114539999999999,1.0277749999999999,0.0020330000000000005,0.0013059999999999999
